standard names
knema glaucescens
knema globularia
knema hookeriana
knema intermedia
knema latericia
knema laurina
knema malayana
knema rubens
koilodepas longifolium
kokoona reflexa
koompassia malaccensis
kopsia singapurensis
korthalsia echinometra
korthalsia laciniosa
korthalsia rigida
korthalsia rostrata
korthalsia scortechinii
kunstleria ridleyi
labisia pumila
lasia spinosa
lasianthus attenuatus
lasianthus maingayi
lecanopteris crustacea
lecanopteris sinuosa
leea angulata
leea indica
leea rubra
lemna tenera
lepionurus sylvestris
lepironia articulata
lepisanthes rubiginosa
lepisorus longifolius
leuconotis griffithii
licania splendens
licuala ferruginea
licuala spinosa
limacia scandens
lindera lucida
lindernia anagallis
lindsaea cultrata
lindsaea divergens
lindsaea ensifolia
lindsaea parallelogramma
lindsaea walkerae
liparis ferruginea
lipocarpha chinensis
lithocarpus bennettii
lithocarpus cantleyanus
lithocarpus conocarpus
lithocarpus elegans
lithocarpus encleisocarpus
lithocarpus ewyckii
lithocarpus lucidus
litsea accedens
litsea castanea
litsea cordata
litsea elliptica
litsea ferruginea
litsea firma
litsea grandis
litsea lancifolia
lophopetalum wightianum
lumnitzera littorea
lumnitzera racemosa
luvunga crassifolia
lycopodiella cernua
lygodium flexuosum
lygodium longifolium
lygodium microphyllum
lygodium salicifolium
macaranga bancana
macaranga conifera
macaranga gigantea
macaranga griffithiana
macaranga heynei
macaranga hullettii
macaranga hypoleuca
macaranga lowii
macaranga recurvata
macaranga trichocarpa
maclurodendron porteri
macrosolen cochinchinensis
macrosolen retusus
madhuca kingiana
maesa ramentacea
magnolia elegans
magnolia maingayi
magnolia singapurensis
mallotus paniculatus
mangifera caesia
mangifera foetida
mangifera griffithii
mangifera magnifica
mangifera odorata
mangifera quadrifida
mapania bancana
mapania cuspidata
mapania palustris
mapania wallichii
maranthes corymbosa
matthaea sancta
melanochyla auriculata
melanochyla caesia
melastoma malabathricum
melicope lunu-ankenda
meliosma pinnata
melodinus orientalis
memecylon amplexicaule
memecylon cantleyi
memecylon edule
memecylon floridum
memecylon lilacinum
memecylon minutiflorum
memecylon paniculatum
merremia hederacea
mesophlebion chlamydophorum
mesophlebion motleyanum
mezzettia parviflora
microcos blattaefolia
microcos globulifera
microcos hirsuta
microdesmis caseariifolia
microlepia speluncae
microsorum punctatum
mitrella kentii
molineria capitulata
molineria latifolia
morella esculenta
morinda citrifolia
morinda umbellata
mussaenda glabra
myrialepis paradoxa
myristica cinnamomea
myristica elliptica
myristica iners
myristica lowiana
myristica maingayi
myristica maxima
nauclea officinalis
nauclea subdita
neesia malayana
neesia synandra
nenga pumila var. pachystachya
neolitsea cassia
neoscortechinia sumatrensis
nepenthes ampullaria
nepenthes gracilis
nepenthes rafflesiana
nephelaphyllum pulchrum
nephelium cuspidatum
nephelium lappaceum
nephelium laurinum
nephelium maingayi
nephrolepis acutifolia
nephrolepis radicans
nothaphoebe umbelliflora
nothocissus spicifera
nymphoides indica
nypa fruticans
ochanostachys amentacea
ochthocharis javanica
oldenlandia prostrata
olea brachiata
oncosperma horridum
oncosperma tigillarium
ophioglossum nudicaule
ophioglossum pendulum
ophioglossum reticulatum
ophiorrhiza singaporensis
orania sylvicola
ormosia bancana
osmelia philippina
ottochloa nodosa
oxyceros fragrantissimus
oxyceros longiflorus
oxystophyllum carnosum
pachycentria constricta
paederia foetida
palaquium gutta
palaquium hexandrum
palaquium microphyllum
palaquium obovatum
palaquium rostratum
palaquium xanthochymum
pandanus yvanii
panicum sarmentosum
parameria polyneura
paramignya scandens
parastemon urophyllus
parinari costata
parinari oblongifolia
parishia insignis
parishia maingayi
parishia paucijuga
parkia speciosa
paspalum vaginatum
pavetta wallichiana
pellacalyx axillaris
pellacalyx saccardianus
pentace triptera
pentaphragma ellipticum var. ellipticum
pertusadina eurhyncha
phaeanthus ophthalmicus
pholidocarpus kingianus
phrynium parvum
phymatosorus nigrescens
phymatosorus scolopendria
phytocrene bracteata
pimelodendron griffithianum
pinalia bractescens
pinalia floribunda
pinanga malaiana
pinanga simplicifrons
piper caninum
piper flavimarginatum
piper macropiper
piper porphyrophyllum
piper ribesioides
piper sarmentosum
pittosporum ferrugineum
planchonia grandis
platycerium coronarium
plectocomia elongata
pleocnemia conjugata
pleocnemia irregularis
plocoglottis gigantea
plocoglottis javanica
plocoglottis lowii
ploiarium alternifolium
podocarpus polystachyus
podochilus microphyllus
poikilospermum suaveolens
polyalthia angustissima
polyalthia cauliflora
polystachya concreta
pomatocalpa diffusum
pometia pinnata
pongamia pinnata
popowia tomentosa
pouteria malaccensis
pouteria obovata
premna serratifolia
pronephrium repandum
pronephrium triphyllum
prunus arborea
prunus grisea
prunus polystachya
pseudoclausena chrysogyne
psilotum complanatum
psilotum nudum
psychotria helferiana
psychotria maingayi
psychotria ovoidea
psychotria penangensis
psychotria rostrata
pteris multifida
pteris semipinnata
pteris tripartita
pterisanthes eriopoda
pterisanthes polita
pternandra caerulescens
pternandra echinata
pterocymbium tubulatum
pterospermum javanicum
pycreus pumilus
pyrenaria acuminata
pyrrosia lanceolata
pyrrosia longifolia
pyrrosia piloselloides
reissantia indica
rhizophora apiculata
rhizophora stylosa
rhodamnia cinerea
rhododendron longiflorum
rhodomyrtus tomentosa
rhopaloblaste singaporensis
rhynchospora rugosa
rinorea anguifera
rinorea lanceolata
rothmannia macrophylla
rourea acutipetala
rourea asplenifolia
rourea fulgens
rourea mimosoides
rourea minor
rubus moluccanus
ryparosa hullettii
salacca affinis
salacia chinensis
salacia exsculpta
salacia korthalsiana
salacia viminea
sandoricum beccarianum
sandoricum koetjape
santiria apiculata
santiria griffithii
santiria laevigata
santiria rubiginosa
santiria tomentosa
sarcosperma paniculatum
saurauia pentapetala
scaevola taccada
scaphium affine
scaphium linearicarpum
scaphium macropodum
schefflera cephalotes
schefflera lanceolata
schefflera ridleyi
schismatoglottis calyptrata
schismatoglottis wallichii
schizachyrium sanguineum
schizaea dichotoma
schizaea digitata
schoenorchis micrantha
schoenorchis secundiflora
scindapsus hederaceus
scindapsus pictus
scirpodendron ghaeri
scleria ciliaris
scleria corymbosa
scleria purpurascens
scleropyrum pentandrum
scolopia macrophylla
scorodocarpus borneensis
scrotochloa urceolata
scurrula ferruginea
scyphiphora hydrophylacea
selaginella intermedia
selaginella mayeri
selliguea lateritia
sesuvium portulacastrum
shirakiopsis indica
shorea curtisii
shorea leprosula
shorea macroptera
shorea ovalis
shorea pauciflora
smilax calophylla
smilax leucophylla
smilax setosa
soejatmia ridleyi
sonerila heterostemon
sonneratia alba
sonneratia caseolaris
sonneratia ovata
spathoglottis plicata
spatholobus ferrugineus
sphaerostephanos heterocarpus
sphaerostephanos polycarpa
sphenodesme pentandra
stachyphrynium latifolium
staurogyne griffithiana
staurogyne kingiana
stenochlaena palustris
stephania capitata
sterculia coccinea
sterculia macrophylla
sterculia parviflora
sterculia rubiginosa
streblus elongatus
strombosia ceylanica
strombosia javanica
strophanthus caudatus
strophanthus singaporianus
strychnos axillaris
strychnos ignatii
strychnos maingayi
styrax benzoin
suregada multiflora
swintonia schwenckii
symplocos adenophylla
symplocos barringtoniifolia
symplocos fasciculata
symplocos lucida
symplocos odoratissima
syngramma alismifolia
syzygium borneense
syzygium chloranthum
syzygium cinereum
syzygium filiforme
syzygium glaucum
syzygium grande
syzygium incarnatum
syzygium lineatum
syzygium myrtifolium
syzygium nigricans
syzygium polyanthum
syzygium pseudocrenulatum
syzygium ridleyi
syzygium zeylanicum
tabernaemontana corymbosa
tabernaemontana pauciflora
tacca integrifolia
tacca leontopetaloides
taeniophyllum pusillum
taenitis blechnoides
taenitis interrupta
talipariti tiliaceum
tarenna mollis
tectaria barberi
tectaria griffithii var. singaporeana
tectaria semipinnata
tectaria singaporiana
tectaria vasta
teratophyllum aculeatum
teratophyllum rotundifoliatum
terminalia catappa
terminalia subspathulata
ternstroemia penangiana
tetracera akara
tetracera fagifolia
tetracera indica
tetracera macrophylla
tetrastigma curtisii
tetrastigma dichotomum
tetrastigma lawsoni
thespesia populnea
thrixspermum calceolus
thrixspermum trichoglottis
timonius flavescens
timonius wallichianus
tinomiscium petiolare
tournefortia tetrandra
trema cannabina
trema tomentosa
triadica cochinchinensis
trichomanes mindorense
trichomanes motleyi
trichomanes sublimbatum
trichosanthes celebica
trichosanthes wawraei
trichotosia velutina
trigonachras acuta
trigoniastrum hypoleucum
trigonostemon heteranthus
triomma malaccensis
tristellateia australasiae
turpinia sphaerocarpa
uncaria cordata var. ferruginea
uncaria longiflora var. pteropoda
urceola torulosa
urophyllum arboreum
urophyllum blumeanum
urophyllum griffithianum
urophyllum hirsutum
urophyllum streptopodium
utania austromalayensis
utania nervosa
uvaria cordata
uvaria hirsuta
uvaria javana
uvaria lobbiana
vaginularia trichoidea
vatica pauciflora
vernonia arborea
viburnum sambucinum
viscum articulatum
viscum ovalifolium
vitex pinnata
vitex vestita
vittaria elongata
vittaria ensiformis
vrydagzynea albida
vrydagzynea lancifolia
vrydagzynea tristriata
willughbeia angustifolia
willughbeia coriacea
willughbeia flavescens
willughbeia tenuiflora
wollastonia biflora
wrightia laevis
xanthophyllum amoenum
xanthophyllum discolor
xanthophyllum ellipticum
xanthophyllum eurhynchum
xanthophyllum flavescens
xanthophyllum vitellinum
xenostegia tridentata
xerospermum noronhianum
ximenia americana
xylocarpus granatum
xylocarpus moluccensis
xylocarpus rumphii
xylopia caudata
xylopia ferruginea
xylopia malayana
xyris pauciflora
zingiber puberulum var. chryseum
ziziphus calophylla
zoysia matrella
