no. in part 3,species name,author names with var. and ssp.,phylum: family,life form,status,if cultivated,synonyms
1631,Diplazium esculentum, (Retz.) Sw., Filicinophyta: Woodsiaceae, herb,vulnerable,,
1632,Diplazium tomentosum, Blume, Filicinophyta: Woodsiaceae, herb,vulnerable,,
1633,Dipterocarpus costulatus, Slooten, Magnoliophyta: Dipterocarpaceae, tree,vulnerable,,
1634,Dipterocarpus grandiflorus, (Blanco) Blanco, Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1635,Dipterocarpus kerrii, King, Magnoliophyta: Dipterocarpaceae, tree,vulnerable,,
1636,Dipterocarpus sublamellatus, Foxw., Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1637,Dissochaeta celebica, Blume, Magnoliophyta: Melastomataceae, climber,vulnerable,,
1638,Dissochaeta gracilis, (Jack) Blume, Magnoliophyta: Melastomataceae, climber,vulnerable,,
1639,Dissochaeta punctulata, Hook. f. ex Triana, Magnoliophyta: Melastomataceae, climber,vulnerable,,
1640,Dracaena cantleyi, Baker, Magnoliophyta: Ruscaceae, shrub,vulnerable,,
1641,Dracaena granulata, Hook. f., Magnoliophyta: Ruscaceae, tree,vulnerable,,
1642,Dracaena maingayi, Hook. f., Magnoliophyta: Ruscaceae, tree,vulnerable, cultivated,
1643,Dracaena umbratica, Ridl., Magnoliophyta: Ruscaceae, shrub,vulnerable,,
1644,Durio singaporensis, Ridl., Magnoliophyta: Malvaceae, tree,vulnerable,,
1645,Dysoxylum cauliflorum, Hiern, Magnoliophyta: Meliaceae, tree,vulnerable, cultivated,
1646,Elaeocarpus nitidus, Jack, Magnoliophyta: Elaeocarpaceae, tree,vulnerable, cultivated,
1647,Elaeocarpus polystachyus, Wall. ex C. Muell., Magnoliophyta: Elaeocarpaceae, tree,vulnerable,,
1648,Elaeocarpus stipularis, Blume, Magnoliophyta: Elaeocarpaceae, tree,vulnerable, cultivated,
1649,Eleiodoxa conferta, (Griff.) Burret, Magnoliophyta: Arecaceae, shrub,vulnerable, cultivated,
1650,Endospermum diadenum, (Miq.) Airy Shaw, Magnoliophyta: Euphorbiaceae, tree,vulnerable,,
1651,Eriachne pallescens, R. Br., Magnoliophyta: Poaceae, herb,vulnerable,,
1652,Erythropalum scandens, Blume, Magnoliophyta: Olacaceae, climber,vulnerable,,
1653,Euphorbia atoto, Forst. f., Magnoliophyta: Euphorbiaceae, herb,vulnerable,,
1654,Ficus aurata, Miq. var. aurata, Magnoliophyta: Moraceae, tree,vulnerable,,
1655,Ficus chartacea, Wall. ex King, Magnoliophyta: Moraceae, shrub,vulnerable,,
1656,Fimbristylis polytrichoides, (Retz.) R. Br., Magnoliophyta: Cyperaceae, herb,vulnerable,,
1657,Fissistigma fulgens, (Hook. f. & Thoms.) Merr., Magnoliophyta: Annonaceae, climber,vulnerable,,
1658,Fissistigma latifolium, (Dunal) Merr. var. ovoideum (King) Sinclair, Magnoliophyta: Annonaceae, climber,vulnerable,,
1659,Fissistigma manubriatum, (Hook.f. & Thoms.) Merr., Magnoliophyta: Annonaceae, climber,vulnerable,,
1660,Flacourtia rukam, Zoll. & Moritzi, Magnoliophyta: Salicaceae, tree,vulnerable, cultivated,
1661,Friesodielsia biglandulosa, (Blume) Steenis, Magnoliophyta: Annonaceae, climber,vulnerable,,
1662,Friesodielsia borneensis, (Miq.) Steenis, Magnoliophyta: Annonaceae, climber,vulnerable,,
1663,Friesodielsia excisa, (Miq.) Steenis, Magnoliophyta: Annonaceae, climber,vulnerable,,
1664,Gaertnera grisea, Hook. f. ex C.B. Clarke, Magnoliophyta: Rubiaceae, shrub,vulnerable,,
1665,Galearia fulva, (Tul.) Miq., Magnoliophyta: Pandaceae, tree,vulnerable, cultivated,
1666,Garcinia eugeniifolia, Wall. ex T. Anderson, Magnoliophyta: Clusiaceae, tree,vulnerable, cultivated,
1667,Gleichenia truncata, (Willd.) Nakai, Filicinophyta: Gleicheniaceae, climber,vulnerable,, =Sticherus truncatus (Willd.) Nakai
1668,Glochidion zeylanicum, Blume var. zeylanicum, Magnoliophyta: Phyllanthaceae, tree,vulnerable,, =G.  brunneum Hook.f.;  G. perakense (Müll.Arg.) Airy Shaw
1669,Glycosmis chlorosperma, (Blume) Spreng. var. chlorosperma, Magnoliophyta: Rutaceae, shrub,vulnerable,,
1670,Gomphandra quadrifida, (Blume) Sleum., Magnoliophyta: Stemonuraceae, shrub,vulnerable,,
1671,Goniophlebium percussum, (Cav.) Wagner & Grether, Filicinophyta: Polypodiaceae, epiphyte,vulnerable,,
1672,Goniophlebium subauriculatum, (Blume) C. Presl, Filicinophyta: Polypodiaceae, epiphyte,vulnerable,,
1673,Goniothalamus macrophyllus, (Blume) Hook. f. & Thoms., Magnoliophyta: Annonaceae, shrub,vulnerable,,
1674,Goniothalamus malayanus, Hook. f. & Thoms., Magnoliophyta: Annonaceae, tree,vulnerable,,
1675,Goniothalamus ridleyi, King, Magnoliophyta: Annonaceae, tree,vulnerable,,
1676,Goniothalamus tapis, Miq., Magnoliophyta: Annonaceae, tree,vulnerable,,
1677,Grewia laevigata, Vahl, Magnoliophyta: Malvaceae, climber,vulnerable, cultivated,
1678,Guioa pleuropteris, (Blume) Radlk., Magnoliophyta: Sapindaceae, tree,vulnerable,,
1679,Guioa pubescens, (Z. & M.) Radlk., Magnoliophyta: Sapindaceae, tree,vulnerable,,
1680,Gynochthodes coriacea, Blume, Magnoliophyta: Rubiaceae, climber,vulnerable,,
1681,Hanguana malayana, (Jack) Merr., Magnoliophyta: Hanguanaceae, herb,vulnerable, cultivated,
1682,Hedyotis pinifolia, Wall. ex G. Don, Magnoliophyta: Rubiaceae, herb,vulnerable,,
1683,Histiopteris incisa, (Thunb.) J. Sm., Filicinophyta: Dennstaedtiaceae, climber,vulnerable,,
1684,Homalomena griffithii, (Schott) Hook. f., Magnoliophyta: Araceae, herb,vulnerable,,
1685,Hornstedtia scyphifera, (J. König) Steud var. scyphifera, Magnoliophyta: Zingiberaceae, herb,vulnerable, cultivated,
1686,Horsfieldia polyspherula, (Hook. f. emend. King) J. Sinclair, Magnoliophyta: Myristicaceae, tree,vulnerable,,
1687,Ilex latifolia, Thunb., Magnoliophyta: Aquifoliaceae, tree,vulnerable, cultivated, =I. macrophylla Blume
1688,Ixonanthes icosandra, Jack, Magnoliophyta: Ixonanthaceae, tree,vulnerable, cultivated,
1689,Koilodepas longifolium, Hook. f., Magnoliophyta: Euphorbiaceae, tree,vulnerable,,
1690,Labisia pumila, (Blume) F.-Vill., Magnoliophyta: Myrsinaceae, herb,vulnerable, cultivated,
1691,Lasia spinosa, (L.) Thwaites, Magnoliophyta: Araceae, herb,vulnerable, cultivated,
1692,Lasianthus appressus, Hook. f., Magnoliophyta: Rubiaceae, shrub,vulnerable,,
1693,Lasianthus attenuatus, Jack, Magnoliophyta: Rubiaceae, shrub,vulnerable,, =L. densifolius Miq.
1694,Lasianthus perakensis, King & Gamble, Magnoliophyta: Rubiaceae, shrub,vulnerable,,
1695,Lasianthus ridleyi, King & Gamble, Magnoliophyta: Rubiaceae, shrub,vulnerable,,
1696,Lecanopteris crustacea, Copel., Filicinophyta: Polypodiaceae, epiphyte,vulnerable,,
1697,Leuconotis griffithii, Hook.f., Magnoliophyta: Apocynaceae, climber,vulnerable,, =L. maingayi Dyer ex Hook.f.
1698,Licuala spinosa, Thunb., Magnoliophyta: Arecaceae, shrub,vulnerable, cultivated,
1699,Limacia scandens, Lour., Magnoliophyta: Menispermaceae, climber,vulnerable,,
1700,Lindera lucida, (Blume) Boerl., Magnoliophyta: Lauraceae, tree,vulnerable, cultivated,
1701,Lindsaea parasitica, (Roxb. Ex Griff.) Hieron., Filicinophyta: Dennstaedtiaceae, epiphyte,vulnerable,,
1702,Litsea firma, Hook. f., Magnoliophyta: Lauraceae, tree,vulnerable, cultivated,
1703,Litsea umbellata, (Lour.) Merr., Magnoliophyta: Lauraceae, shrub,vulnerable, cultivated,
1704,Lophopetalum wightianum, Arn., Magnoliophyta: Celastraceae, tree,vulnerable, cultivated,
1705,Lygodium circinnatum, (Burm. f.) Sw., Filicinophyta: Schizaeaceae, climber,vulnerable,,
1706,Lygodium longifolium, (Willd.) Sw., Filicinophyta: Schizaeaceae, climber,vulnerable,,
1707,Macaranga griffithiana, Müll.Arg., Magnoliophyta: Euphorbiaceae, tree,vulnerable,, =M. motleyana (Müll.Arg.) Müll.Arg. ssp. griffithiana (Müll.Arg.) Whitmore
1708,Macaranga lowii, King ex Hook. f., Magnoliophyta: Euphorbiaceae, tree,vulnerable,,
1709,Maclurodendron porteri, (Hook. f.) T.G. Hartley, Magnoliophyta: Rutaceae, tree,vulnerable,,
1710,Mangifera foetida, Lour., Magnoliophyta: Anacardiaceae, tree,vulnerable, cultivated,
1711,Mangifera macrocarpa, Blume, Magnoliophyta: Anacardiaceae, tree,vulnerable,,
1712,Mangifera odorata, Griff., Magnoliophyta: Anacardiaceae, tree,vulnerable, cultivated,
1713,Mapania cuspidata, (Miq.) Uittien, Magnoliophyta: Cyperaceae, herb,vulnerable, cultivated,
1714,Melanochyla auriculata, Hook. f., Magnoliophyta: Anacardiaceae, tree,vulnerable,,
1715,Melanochyla bracteata, King, Magnoliophyta: Anacardiaceae, tree,vulnerable,,
1716,Melanochyla caesia, (Blume) Ding Hou, Magnoliophyta: Anacardiaceae, tree,vulnerable,,
1717,Melicope glabra, (Blume) T.G. Hartley, Magnoliophyta: Rutaceae, tree,vulnerable,,
1718,Mesophlebion chylamydophorum, (Rosenst.) Holttum, Filicinophyta: Thelypteridaceae, herb,vulnerable,,
1719,Mesophlebion motleyanum, (Hook.) Holttum, Filicinophyta: Thelypteridaceae, herb,vulnerable,,
1720,Mischocarpus sundaicus, Blume, Magnoliophyta: Sapindaceae, tree,vulnerable,,
1721,Mnesithea glandulosa, (Trin) de Koning & Sosef, Magnoliophyta: Poaceae, herb,vulnerable,,
1722,Molineria latifolia, (Dryand. ex W. T. Aiton) Herb ex Kurz var. latifolia, Magnoliophyta: Hypoxidaceae, herb,vulnerable, cultivated,
1723,Monocarpia marginalis, (Scheff.) Sinclair, Magnoliophyta: Annonaceae, tree,vulnerable, cultivated,
1724,Najas indica, (Willd.) Cham., Magnoliophyta: Hydrocharitaceae, herb,vulnerable,,
1725,Neesia synandra, Mast., Magnoliophyta: Malvaceae, tree,vulnerable,,
1726,Neolitsea cassia, (L.) Kosterm., Magnoliophyta: Lauraceae, shrub,vulnerable, cultivated, =N. zeylanica (Nees) Merr.
1727,Nepenthes ampullaria, Jack, Magnoliophyta: Nepenthaceae, climber,vulnerable,,
1728,Nepenthes rafflesiana, Jack ex Hook. f., Magnoliophyta: Nepenthaceae, climber,vulnerable, cultivated,
1729,Nypa fruticans, Wurmb, Magnoliophyta: Arecaceae, shrub,vulnerable, cultivated,
1730,Ochanostachys amentacea, Mast., Magnoliophyta: Olacaceae, tree,vulnerable, cultivated,
1731,Oldenlandia affinis, (Roem. & Schult.) DC. ssp. affinis, Magnoliophyta: Rubiaceae, herb,vulnerable,, =Hedyotis dichotoma Koen. ex Roth
1732,Oldenlandia cristata, (Willd. ex Roem. & Schult.) ined., Magnoliophyta: Rubiaceae, herb,vulnerable,, =Hedyotis congesta R.Br. ex G. Don;  Hedyotis philippinensis (Wild. ex Spreng.) Merr. ex C.B. Rob.
1733,Olea brachiata, (Lour.) Merr., Magnoliophyta: Oleaceae, tree,vulnerable,,
1734,Oncosperma horridum, (Griff.) Scheff., Magnoliophyta: Arecaceae, shrub,vulnerable, cultivated,
1735,Oncosperma tigillaria, (Jack) Ridl., Magnoliophyta: Arecaceae, shrub,vulnerable, cultivated,
1736,Oxyceros longiflorus, (Lam.) T. Yamazaki, Magnoliophyta: Rubiaceae, climber,vulnerable,,
1737,Palaquium obovatum, (Griff.) Engl., Magnoliophyta: Sapotaceae, tree,vulnerable, cultivated,
1738,Parishia insignis, Hook. f., Magnoliophyta: Anacardiaceae, tree,vulnerable, cultivated,
1739,Parishia maingayi, Hook. f., Magnoliophyta: Anacardiaceae, tree,vulnerable,,
1740,Parkia speciosa, Hassk., Magnoliophyta: Fabaceae, tree,vulnerable, cultivated,
1741,Pavetta wallichiana, Steud., Magnoliophyta: Rubiaceae, shrub,vulnerable,,
1742,Peliosanthes teta, Andr. ssp. humilis (Andr.) Jessp., Magnoliophyta: Ruscaceae, herb,vulnerable,,
1743,Pentaphragma ellipticum, Poulsen var. ellipticum, Magnoliophyta: Pentaphragmataceae, herb,vulnerable, cultivated,
1744,Pertusadina eurhyncha, (Miq.) Ridsdale, Magnoliophyta: Rubiaceae, tree,vulnerable,,
1745,Phaeanthus ophthalmicus, (Roxb. ex G. Don) J. Sinclair, Magnoliophyta: Annonaceae, shrub,vulnerable,,
1746,Phytocrene bracteata, Wall., Magnoliophyta: Icacinaceae, climber,vulnerable,,
1747,Pimelodendron griffithianum, (Müll.Arg.) Benth., Magnoliophyta: Euphorbiaceae, tree,vulnerable,,
1748,Pittosporum ferrugineum, W.T. Aiton, Magnoliophyta: Pittosporaceae, shrub,vulnerable, cultivated,
1749,Plectocomia elongata, Mart. ex Blume, Magnoliophyta: Arecaceae, climber,vulnerable,,
1750,Poikilospermum suaveolens, (Blume) Merr., Magnoliophyta: Urticaceae, epiphyte,vulnerable,,
1751,Polyalthia angustissima, Ridl., Magnoliophyta: Annonaceae, tree,vulnerable,,
1752,Polyalthia cauliflora, Hook. f. & Thoms., Magnoliophyta: Annonaceae, tree,vulnerable,,
1753,Popowia fusca, King, Magnoliophyta: Annonaceae, tree,vulnerable,,
1754,Popowia pisocarpa, (Blume) Endl., Magnoliophyta: Annonaceae, tree,vulnerable,,
1755,Porterandia anisophylla, (Jack ex Roxb.) Ridl., Magnoliophyta: Rubiaceae, tree,vulnerable, cultivated,
1756,Pothos lancifolius, Hook. f., Magnoliophyta: Araceae, climber,vulnerable,,
1757,Pouteria malaccensis, (C.B. Clarke) Baehni, Magnoliophyta: Sapotaceae, tree,vulnerable,,
1758,Pouteria obovata, (R. Br.) Baehni, Magnoliophyta: Sapotaceae, tree,vulnerable, cultivated,
1759,Premna serratifolia, L., Magnoliophyta: Lamiaceae, climber,vulnerable,,
1760,Psychotria ovoidea, Wall., Magnoliophyta: Rubiaceae, climber,vulnerable,,
1761,Psychotria penangensis, Hook. f., Magnoliophyta: Rubiaceae, climber,vulnerable,,
1762,Psydrax nitida, (Craib) K.M. Wong, Magnoliophyta: Rubiaceae, tree,vulnerable,,
1763,Pteridium aquilinum, (L.) Kuhn var. esculentum (G. Forst.) Kuhn, Filicinophyta: Dennstaedtiaceae, herb,vulnerable,, =P. esculentum (G.Forst.) Cockayne
1764,Pteris semipinnata, L., Filicinophyta: Pteridaceae, herb,vulnerable,,
1765,Pternandra coerulescens, Jack, Magnoliophyta: Melastomataceae, tree,vulnerable, cultivated,
1766,Pternandra echinata, Jack, Magnoliophyta: Melastomataceae, tree,vulnerable, cultivated,
1767,Pyrrosia angustata, (L.) Farwell, Filicinophyta: Polypodiaceae, epiphyte,vulnerable,,
1768,Rapanea porteriana, Wall. ex A. DC., Magnoliophyta: Myrsinaceae, shrub,vulnerable, cultivated,
1769,Rhaphidophora korthalsii, Schott, Magnoliophyta: Araceae, climber,vulnerable,,
1770,Rhaphidophora lobbii, Schott, Magnoliophyta: Araceae, climber,vulnerable,,
1771,Rhaphidophora maingayi, Hook. f., Magnoliophyta: Araceae, climber,vulnerable,,
1772,Rhaphidophora minor, Hook. f., Magnoliophyta: Araceae, climber,vulnerable,,
1773,Rhaphidophora montana, (Blume) Schott, Magnoliophyta: Araceae, climber,vulnerable,, =Anadendrum montanum (Blume) Schott
1774,Rhizophora stylosa, Griff., Magnoliophyta: Rhizophoraceae, tree,vulnerable,,
1775,Rothmannia macrophylla, (R. Br. ex Hook. f.) Bremek., Magnoliophyta: Rubiaceae, shrub,vulnerable, cultivated,
1776,Rourea fulgens, Planch., Magnoliophyta: Connaraceae, climber,vulnerable,,
1777,Rubus moluccanus, L. var. moluccanus, Magnoliophyta: Rosaceae, climber,vulnerable, cultivated,
1778,Salacia chinensis, L., Magnoliophyta: Celastraceae, climber,vulnerable,,
1779,Salacia macrophylla, Blume, Magnoliophyta: Celastraceae, climber,vulnerable,,
1780,Santiria laevigata, Blume, Magnoliophyta: Burseraceae, tree,vulnerable,,
1781,Santiria rubiginosa, Blume, Magnoliophyta: Burseraceae, tree,vulnerable,,
1782,Schefflera elliptica, (Blume) Harms, Magnoliophyta: Araliaceae, epiphyte,vulnerable,,
1783,Schismatoglottis calyptrata, (Roxb.) Zoll. & Moritzi, Magnoliophyta: Araceae, herb,vulnerable,,
1784,Schismatoglottis wallichii, (Roxb.) Hook. f., Magnoliophyta: Araceae, herb,vulnerable, cultivated,
1785,Scleria sumatrensis, Retz., Magnoliophyta: Cyperaceae, herb,vulnerable,,
1786,Scrotochloa urceolata, (Roxb.) Judz., Magnoliophyta: Poaceae, herb,vulnerable,,
1787,Selaginella intermedia, (Bl.) Spring, Lycophyta: Selaginellaceae, herb,vulnerable,,
1788,Selaginella roxburghii, (Hk. & Grev.) Spring, Lycophyta: Selaginellaceae, herb,vulnerable,,
1789,Selaginella willdenowii, (Desv.) Baker, Lycophyta: Selaginellaceae, climber,vulnerable,,
1790,Shorea curtisii, Dyer ex King ssp. curtisii, Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1791,Shorea leprosula, Miq., Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1792,Shorea macroptera, Dyer ssp. macroptera, Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1793,Shorea pauciflora, King, Magnoliophyta: Dipterocarpaceae, tree,vulnerable, cultivated,
1794,Smilax myosotiflora, A. DC., Magnoliophyta: Smilacaceae, climber,vulnerable,,
1795,Sphaerostephanos polycarpus, (Blume) Copel., Filicinophyta: Thelypteridaceae, herb,vulnerable,,
1796,Sterculia hamiltonii, (Kuntze) Adelb., Magnoliophyta: Malvaceae, shrub,vulnerable, cultivated, =S.  coccinea Jack
