no. in part 3,species name,author names with var. and ssp.,phylum: family,life form,status,if cultivated,synonyms
528,Rourea rugosa, Planch., Magnoliophyta: Connaraceae, climber,extinct,,
529,Rubus moluccanus, L. var. angulosus Kalkman, Magnoliophyta: Rosaceae, climber,extinct,,
530,Ryparosa hullettii, King, Magnoliophyta: Achariaceae, shrub,extinct,,
531,Sabia erratica, van de Water, Magnoliophyta: Sabiaceae, climber,extinct,,
532,Salacca affinis, Griff., Magnoliophyta: Arecaceae, shrub,extinct,,
533,Salacia maingayi, Laws., Magnoliophyta: Celastraceae, climber,extinct,,
534,Sarcolobus globosus, Wall., Magnoliophyta: Apocynaceae, climber,extinct,,
535,Sarcosperma paniculatum, (King) Stapf & King, Magnoliophyta: Sapotaceae, tree,extinct,,
536,Sarcostoma javanica, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
537,Saurauia pentapetala, (Jack) Hoogl., Magnoliophyta: Actinidiaceae, tree,extinct,,
538,Schefflera cephalotes, (C.B. Clarke) Harms, Magnoliophyta: Araliaceae, epiphyte,extinct,,
539,Schefflera lanceolata, Ridl., Magnoliophyta: Araliaceae, climber,extinct,,
540,Schefflera oxyphylla, (Miq.) Viguier, Magnoliophyta: Araliaceae, epiphyte,extinct,,
541,Schefflera ridleyi, (King) Viguier, Magnoliophyta: Araliaceae, epiphyte,extinct,,
542,Schizachyrium sanguineum, (Retz.) Alston, Magnoliophyta: Poaceae, herb,extinct,,
543,Schizaea wagneri, Selling, Filicinophyta: Schizaeaceae, epiphyte,extinct,,
544,Schizostachyum gracile, (Munro) Holttum, Magnoliophyta: Poaceae, shrub,extinct,,
545,Schizostachyum latifolium, Gamble, Magnoliophyta: Poaceae, shrub,extinct,,
546,Schoenorchis micrantha, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
547,Schoenorchis secundiflora, (Ridl.) J.J. Smith, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
548,Schradera morinda, DC., Magnoliophyta: Rubiaceae, climber,extinct,, =Lucinaea morinda DC.
549,Sciaphila maculata, Miers, Magnoliophyta: Triuridaceae, herb,extinct,,
550,Sciaphila tenella, Blume, Magnoliophyta: Triuridaceae, herb,extinct,,
551,Scirpodendron ghaeri, (Gaertn.) Merr., Magnoliophyta: Cyperaceae, herb,extinct,,
552,Scleria corymbosa, Roxb., Magnoliophyta: Cyperaceae, herb,extinct,,
553,Scolopia macrophylla, (W. & A.) Clos, Magnoliophyta: Salicaceae, tree,extinct,,
554,Shirakiopsis indica, (Willd.) Esser, Magnoliophyta: Euphorbiaceae, tree,extinct,,
555,Shorea collina, Ridl., Magnoliophyta: Dipterocarpaceae, tree,extinct,,
556,Smilax megacarpa, A. DC. & C. DC., Magnoliophyta: Smilacaceae, climber,extinct,,
557,Spatholobus maingayi, King, Magnoliophyta: Fabaceae, climber,extinct,,
558,Sphaerocaryum malaccense, (Trin.) Pilger, Magnoliophyta: Poaceae, herb,extinct,,
559,Sphenodesme pentandra, Jack, Magnoliophyta: Lamiaceae, climber,extinct,,
560,Staurogyne griffithiana, Kuntze, Magnoliophyta: Acanthaceae, herb,extinct,,
561,Stephanotis maingayi, (Hook. f.) P.I. Forst., Magnoliophyta: Apocynaceae, climber,extinct,,
562,Stereosandra javanica, Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
563,Stictocardia tiliifolia, (Desr.) Hallier f., Magnoliophyta: Convolvulaceae, climber,extinct,, =Ipomoea campanulata L.
564,Strophanthus singaporianus, (Wall. ex G.Don) Gilg, Magnoliophyta: Apocynaceae, climber,extinct,,
565,Strychnos axillaris, Colebr., Magnoliophyta: Loganiaceae, climber,extinct,,
566,Styphelia malayana, (Jack) Spr., Magnoliophyta: Ericaceae, shrub,extinct,,
567,Styrax crotonoides, C.B. Clarke, Magnoliophyta: Styracaceae, tree,extinct,,
568,Symplocos barringtonifolia, Brand, Magnoliophyta: Symplocaceae, tree,extinct,,
569,Symplocos celastrifolia, Griff. ex C.B. Clarke, Magnoliophyta: Symplocaceae, tree,extinct,,
570,Symplocos lucida, (Thunb.) Siebold & Zucc., Magnoliophyta: Symplocaceae, shrub,extinct,,
571,Symplocos odoratissima, (Blume) Choisy ex Zoll., Magnoliophyta: Symplocaceae, tree,extinct,,
572,Syzygium attenuatum, (Miq.) Merr. & L.M. Perry ssp. attenuatum var. attenuatum, Magnoliophyta: Myrtaceae, tree,extinct,,
573,Syzygium avene, Miq., Magnoliophyta: Myrtaceae, tree,extinct,,
574,Syzygium campanulatum, Korth., Magnoliophyta: Myrtaceae, tree,extinct, cultivated,
575,Syzygium conglomeratum, (Duthie) I.M. Turner var. conglomerata, Magnoliophyta: Myrtaceae, tree,extinct,,
576,Syzygium flosculiferum, (M.R. Hend.) Sreek., Magnoliophyta: Myrtaceae, tree,extinct,,
577,Syzygium glabratum, (DC.) Veldekamp, Magnoliophyta: Myrtaceae, tree,extinct,, =S. gracile (Korth.) Amsh.
578,Syzygium griffithii, (Duthie) Merr. & L.M. Perry, Magnoliophyta: Myrtaceae, tree,extinct,,
579,Syzygium kunstleri, (King) Bahadur & R.C. Gaur, Magnoliophyta: Myrtaceae, tree,extinct,,
580,Syzygium leptostemon, (Korth.) Merr. & L.M. Perry, Magnoliophyta: Myrtaceae, tree,extinct,,
581,Syzygium leucoxylon, Korth., Magnoliophyta: Myrtaceae, tree,extinct,,
582,Syzygium myrtifolium, Walp., Magnoliophyta: Myrtaceae, tree,extinct,,
583,Syzygium pseudocrenulatum, (M.R. Hend.) I.M. Turner, Magnoliophyta: Myrtaceae, tree,extinct,,
584,Syzygium scortechinii, (King) P.Chantaranothai & J.Parn. var. scortechinii, Magnoliophyta: Myrtaceae, tree,extinct,,
585,Syzygium urophyllum, Merr., Magnoliophyta: Myrtaceae, shrub,extinct,,
586,Taeniophyllum filiforme, J.J. Smith, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
587,Tarenna ridleyi, (Pears. ex King) Ridl., Magnoliophyta: Rubiaceae, shrub,extinct,,
588,Teijsmanniodendron pteropodum, (Miq.) Bakh., Magnoliophyta: Lamiaceae, tree,extinct,,
589,Ternstroemia bancana, Miq., Magnoliophyta: Pentaphylacaceae, tree,extinct, cultivated,
590,Ternstroemia wallichiana, (Griff.) Engl., Magnoliophyta: Pentaphylacaceae, tree,extinct,,
591,Tetramerista glabra, Miq., Magnoliophyta: Tetrameristaceae, tree,extinct,,
592,Tetrastigma leucostaphylum, (Dennst.) Alston ex Mabb., Magnoliophyta: Vitaceae, climber,extinct,,
593,Thelasis carinata, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
594,Thelasis micrantha, (Brongn.) J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
595,Thelasis pygmaea, (Griff.) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
596,Thismia aseroe, Becc., Magnoliophyta: Thismiaceae, herb,extinct,,
597,Thismia fumida, Ridl., Magnoliophyta: Thismiaceae, herb,extinct,,
598,Thottea dependens, (Planch.) Klotsch., Magnoliophyta: Aristolochiaceae, shrub,extinct,,
599,Thrixspermum acuminatissimum, (Blume) Rchb.f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
600,Thrixspermum calceolus, (Lindl.) Rchb.f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
601,Thrixspermum centipeda, Lour., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
602,Thrixspermum ridleyanum, Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
603,Thrixspermum scopa, (Rchb.f. ex Hook.f.) Holtt., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
604,Thunbergia laurifolia, Lindl., Magnoliophyta: Acanthaceae, climber,extinct, cultivated,
605,Timonius wrayi, King & Gamble, Magnoliophyta: Rubiaceae, tree,extinct,,
606,Tournefortia tetrandra, Blume, Magnoliophyta: Boraginaceae, climber,extinct,,
607,Toxocarpus griffithii, Decne., Magnoliophyta: Apocynaceae, climber,extinct,,
608,Trema angustifolia, (Planch.) Blume, Magnoliophyta: Cannabaceae, shrub,extinct,,
609,Trichotosia gracilis, (Hook.f.) Kraenzl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
610,Trichotosia velutina, (Lodd. ex Lindl.) Kraenzl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
611,Trichotosia vestita, (Lindl.) Kraenzl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
612,Trigoniastrum hypoleucum, Miq., Magnoliophyta: Trigoniaceae, tree,extinct,,
613,Trivalvaria macrophylla, (Blume) Miq., Magnoliophyta: Annonaceae, tree,extinct,,
614,Tropidia curculigoides, Lindl., Magnoliophyta: Orchidaceae, herb,extinct,,
615,Turraea breviflora, Ridl., Magnoliophyta: Meliaceae, shrub,extinct,,
616,Tylophora squarrosa, Ridl., Magnoliophyta: Apocynaceae, climber,extinct,,
617,Uncaria acida, (Hunt.) Roxb. var. acida, Magnoliophyta: Rubiaceae, climber,extinct,,
618,Uncaria attenuata, Korth., Magnoliophyta: Rubiaceae, climber,extinct,,
619,Uncaria callophylla, Blume ex Korth., Magnoliophyta: Rubiaceae, climber,extinct,,
620,Uncaria roxburghiana, Korth., Magnoliophyta: Rubiaceae, climber,extinct,,
621,Urceola lucida, (Wall. ex G. Don) Benth. ex Kurz, Magnoliophyta: Apocynaceae, climber,extinct,,
622,Urophyllum macrophyllum, Korth., Magnoliophyta: Rubiaceae, shrub,extinct,,
623,Urophyllum trifurcum, Pears. ex King & Gamble, Magnoliophyta: Rubiaceae, shrub,extinct,,
624,Utricularia punctata, Wall. ex A. DC., Magnoliophyta: Lentibulariaceae, herb,extinct,,
625,Utricularia uliginosa, Vahl, Magnoliophyta: Lentibulariaceae, herb,extinct,,
626,Uvaria curtisii, King, Magnoliophyta: Annonaceae, climber,extinct,,
627,Uvaria lobbiana, Hook. f. & Thoms., Magnoliophyta: Annonaceae, climber,extinct,,
628,Vaccinium acuminatissimum, Miq., Magnoliophyta: Ericaceae, epiphyte,extinct,,
629,Vaccinium bracteatum, Thunb., Magnoliophyta: Ericaceae, shrub,extinct,,
630,Vaccinium littoreum, Miq., Magnoliophyta: Ericaceae, epiphyte,extinct,,
631,Vaginularia trichoidea, Fée, Filicinophyta: Vittariaceae, epiphyte,extinct,,
632,Viburnum sambucinum, Blume, Magnoliophyta: Adoxaceae, tree,extinct,,
633,Vrydagzynea albida, (Blume) Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
634,Vrydagzynea lancifolia, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
635,Vrydagzynea tristriata, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
636,Willughbeia angustifolia, (Miq.) Markgraf, Magnoliophyta: Apocynaceae, climber,extinct,,
637,Willughbeia edulis, Roxb., Magnoliophyta: Apocynaceae, climber,extinct, cultivated,
638,Willughbeia grandiflora, Dyer ex Hook. f., Magnoliophyta: Apocynaceae, climber,extinct,,
639,Xanthophyllum wrayi, King, Magnoliophyta: Polygalaceae, shrub,extinct,,
640,Xyris pauciflora, Willd., Magnoliophyta: Xyridaceae, herb,extinct,,
641,Zeuxine strateumatica, (L.) Schltr., Magnoliophyta: Orchidaceae, herb,extinct,,
642,Ziziphus oenoplia, (L.) Mill., Magnoliophyta: Rhamnaceae, climber,extinct,,
643,Acriopsis liliifolia, (J. Konig) Retz., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,,
644,Actinodaphne glomerata, (Blume) Nees, Magnoliophyta: Lauraceae, tree,critically endangered,,
645,Adinandra acuminata, Korth., Magnoliophyta: Pentaphylacaceae, tree,critically endangered,,
646,Aeschynanthus albidus, (Blume) Steud, Magnoliophyta: Gesneriaceae, epiphyte,critically endangered,,
647,Aeschynanthus wallichii, Benn., Magnoliophyta: Gesneriaceae, climber,critically endangered,,
648,Aganope heptaphylla, (L.) Polhill, Magnoliophyta: Fabaceae, climber,critically endangered,,
649,Agelaea macrophylla, (Zoll.) Leenh., Magnoliophyta: Connaraceae, climber,critically endangered,,
650,Aglaia cucullata, (Roxb.) Pellegrin, Magnoliophyta: Meliaceae, tree,critically endangered,,
651,Aglaia exstipulata, (Griff.) W. Theob., Magnoliophyta: Meliaceae, tree,critically endangered,,
652,Aglaia leptantha, Miq., Magnoliophyta: Meliaceae, tree,critically endangered,,
653,Aglaia leucophylla, King, Magnoliophyta: Meliaceae, tree,critically endangered,,
654,Aglaia malaccensis, (Ridl.) Pannell, Magnoliophyta: Meliaceae, tree,critically endangered, cultivated,
655,Aglaia odoratissima, Blume, Magnoliophyta: Meliaceae, tree,critically endangered,,
656,Aglaia rubiginosa, (Hiern) Pannell, Magnoliophyta: Meliaceae, tree,critically endangered,,
657,Aglaia rufinervis, (Blume) Bentv., Magnoliophyta: Meliaceae, tree,critically endangered,,
658,Aglaia sexipetala, Griff., Magnoliophyta: Meliaceae, tree,critically endangered,,
659,Aglaia simplicifolia, (Bedd.) Harms, Magnoliophyta: Meliaceae, tree,critically endangered,,
660,Aglaia spectabilis, (Miq.) S. S. Jain & Bennet, Magnoliophyta: Meliaceae, tree,critically endangered,,
661,Aidia auriculata, (Wall.) Ridsdale, Magnoliophyta: Rubiaceae, climber,critically endangered,,
662,Ailanthus integrifolia, Lam., Magnoliophyta: Simaroubaceae, tree,critically endangered,,
663,Alangium javanicum, (Blume) Wangerin var. ebenaceum (C.B.Clarke) Berhaman, Magnoliophyta: Cornaceae, tree,critically endangered,, =A. ebecaceum (C.B. Clarke) Harms
664,Alangium nobile, (C.B. Clarke) Harms, Magnoliophyta: Cornaceae, tree,critically endangered,,
665,Alangium salviifolium, (L. f.) Wang., Magnoliophyta: Cornaceae, climber,critically endangered,,
666,Alangium uniloculare, (Griff.) King, Magnoliophyta: Cornaceae, tree,critically endangered,, =A. griffithii (C.B.  Clarke) Harms
667,Albizia pedicellata, Baker ex Benth., Magnoliophyta: Fabaceae, tree,critically endangered, cultivated,
668,Alchornea villosa, (Benth.) Müll. Arg., Magnoliophyta: Euphorbiaceae, shrub,critically endangered,,
669,Alphonsea maingayi, Hook. f. & Thoms., Magnoliophyta: Annonaceae, tree,critically endangered,,
670,Alpinia aquatica, (Retz.) Roscoe, Magnoliophyta: Zingiberaceae, herb,critically endangered,,
671,Alseodaphne bancana, Miq., Magnoliophyta: Lauraceae, tree,critically endangered,,
672,Alseodaphne intermedia, Kostermans, Magnoliophyta: Lauraceae, tree,critically endangered,,
673,Alstonia pneumatophora, Back. ex L.G. den Berger, Magnoliophyta: Apocynaceae, tree,critically endangered,,
674,Amischotolype mollissima, Hassk., Magnoliophyta: Commelinaceae, climber,critically endangered,, =A. marginata Hassk.
675,Amomum xanthophlebium, Baker, Magnoliophyta: Zingiberaceae, herb,critically endangered,,
676,Amorphophallus prainii, Hook. f., Magnoliophyta: Araceae, herb,critically endangered, cultivated,
677,Ampelocissus polystachya, (Wall.) Planch., Magnoliophyta: Vitaceae, climber,critically endangered,,
678,Anaxagorea javanica, Blume, Magnoliophyta: Annonaceae, tree,critically endangered, cultivated,
679,Ancistrocladus tectorius, (Lour.) Merr., Magnoliophyta: Ancistrocladaceae, climber,critically endangered,,
680,Anisophyllea griffithii, Oliv., Magnoliophyta: Anisophyllaceae, tree,critically endangered,,
681,Anisoptera laevis, Ridl., Magnoliophyta: Dipterocarpaceae, tree,critically endangered,,
682,Anisoptera megistocarpa, Slooten., Magnoliophyta: Dipterocarpaceae, tree,critically endangered,,
683,Anodendron candolleanum, Wight, Magnoliophyta: Apocynaceae, climber,critically endangered,,
684,Antiaris toxicaria, Lesch., Magnoliophyta: Moraceae, tree,critically endangered, cultivated,
685,Antrophyum callifolium, Blume, Filicinophyta: Vittariaceae, epiphyte,critically endangered,,
686,Aporosa confusa, Gage, Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
687,Aporosa falcifera, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
688,Aporosa lucida, (Miq.) Airy Shaw var. lucida, Magnoliophyta: Phyllanthaceae, tree,critically endangered,, =A.  miqueliana Müll.Arg.
689,Aporosa lunata, (Miq.) Kurz, Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
690,Apostasia nuda, R. Br., Magnoliophyta: Orchidaceae, herb,critically endangered,,
691,Aquilaria microcarpa, Baill., Magnoliophyta: Thymelaeaceae, tree,critically endangered,,
692,Arachnis hookeriana, (Hook. f.) Schltr., Magnoliophyta: Orchidaceae, climber,critically endangered,,
693,Archidendron bubalinum, (Jack) I. C. Nielsen, Magnoliophyta: Fabaceae, tree,critically endangered,,
694,Archidendron globosum, (Blume) Nielsen, Magnoliophyta: Fabaceae, tree,critically endangered,,
695,Ardisia crenata, Sims, Magnoliophyta: Myrsinaceae, shrub,critically endangered,,
696,Ardisia lanceolata, Roxb., Magnoliophyta: Myrsinaceae, tree,critically endangered, cultivated,
697,Ardisia miqueliana, Scheff., Magnoliophyta: Myrsinaceae, shrub,critically endangered,,
698,Ardisia tuberculata, Wall. ex A. D. C., Magnoliophyta: Myrsinaceae, shrub,critically endangered,,
699,Ardisia villosa, Roxb., Magnoliophyta: Myrsinaceae, shrub,critically endangered,,
700,Argyreia ridleyi, Prain. ex Oostr., Magnoliophyta: Convolvulaceae, climber,critically endangered,,
701,Artabotrys crassifolius, Hook. f. & Thoms., Magnoliophyta: Annonaceae, climber,critically endangered,,
702,Artabotrys maingayi, Hook. f. & Thoms., Magnoliophyta: Annonaceae, climber,critically endangered,,
703,Artocarpus fulvicortex, Jarrett, Magnoliophyta: Moraceae, tree,critically endangered,,
704,Artocarpus gomezianus, Wall. ex Trec., Magnoliophyta: Moraceae, tree,critically endangered, cultivated,
705,Artocarpus hispidus, Jarrett, Magnoliophyta: Moraceae, tree,critically endangered,,
706,Artocarpus lanceifolius, Roxb., Magnoliophyta: Moraceae, tree,critically endangered, cultivated,
707,Artocarpus lowii, King, Magnoliophyta: Moraceae, tree,critically endangered,,
708,Artocarpus nitidus, Trec. ssp. griffithii (King) Jarrett, Magnoliophyta: Moraceae, tree,critically endangered, cultivated,
709,Arytera littoralis, Blume, Magnoliophyta: Sapindaceae, tree,critically endangered, cultivated,
710,Atuna racemosa, Rafin., Magnoliophyta: Chrysobalanaceae, tree,critically endangered, cultivated,
711,Avicennia marina, (Forsk.) Vierh. ssp. marina, Magnoliophyta: Acanthaceae, tree,critically endangered, cultivated,
712,Baccaurea bracteata, Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
713,Baccaurea brevipes, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
714,Baccaurea hookeri, Gage, Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
715,Baccaurea macrocarpa, (Miq.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,critically endangered,, =B. griffithii Hook. f.
716,Baccaurea maingayi, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
717,Baccaurea minor, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
718,Baccaurea motleyana, (Müll. Arg.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,critically endangered, cultivated,
719,Baccaurea reticulata, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
720,Barclaya motleyi, Hook. f., Magnoliophyta: Nymphaeaceae, herb,critically endangered,,
721,Barringtonia asiatica, (L.) Kurz, Magnoliophyta: Lecythidaceae, tree,critically endangered, cultivated,
722,Barringtonia macrostachya, (Jack) Kurz, Magnoliophyta: Lecythidaceae, tree,critically endangered, cultivated,
723,Barringtonia racemosa, (L.) Spreng., Magnoliophyta: Lecythidaceae, tree,critically endangered, cultivated,
724,Barringtonia reticulata, (Blume) Miq., Magnoliophyta: Lecythidaceae, shrub,critically endangered,,
725,Beilschmiedia kunstleri, Gamble, Magnoliophyta: Lauraceae, tree,critically endangered,,
726,Beilschmiedia tonkinensis, (Lecomte) Ridl., Magnoliophyta: Lauraceae, tree,critically endangered,,
727,Bouea macrophylla, Griff., Magnoliophyta: Anacardiaceae, tree,critically endangered, cultivated,
728,Brackenridgea palustris, Bartell., Magnoliophyta: Ochnaceae, tree,critically endangered,,
729,Breynia discigera, Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
730,Bridelia pustulata, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
731,Bruguiera hainesii, C.G. Rogers, Magnoliophyta: Rhizophoraceae, tree,critically endangered,,
732,Bruguiera sexangula, (Lour.) Poir., Magnoliophyta: Rhizophoraceae, tree,critically endangered, cultivated,
733,Bulbophyllum apodum, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,,
734,Bulbophyllum clandestinum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,, =B. sessile (Koen.) J.J. Sm.
735,Bulbophyllum flabellum-veneris, (J. Konig) Aver., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,,
736,Bulbophyllum gusdorfii, J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,, =Cirrhopetalum gusdorfii (J.J. Sm.) Garay et al. var. johorense (Holttum) Garay et al.
737,Bulbophyllum macranthum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,critically endangered,,
738,Bulbophyllum membranaceum, Teijsm & Binnend., Magnoliophyta: Orchidaceae, epiphyte,critically endangered, cultivated,
739,Burmannia championii, Thw., Magnoliophyta: Burmanniaceae, herb,critically endangered,,
740,Byttneria maingayi, Mast., Magnoliophyta: Malvaceae, climber,critically endangered,,
741,Caelospermum truncatum, (Wall.) Baill. ex K. Schum., Magnoliophyta: Rubiaceae, climber,critically endangered,,
742,Caesalpinia bonduc, (L.) Roxb., Magnoliophyta: Fabaceae, climber,critically endangered,,
743,Caesalpinia sumatrana, Roxb., Magnoliophyta: Fabaceae, climber,critically endangered,,
744,Calamus insignis, Griff., Magnoliophyta: Arecaceae, climber,critically endangered,,
745,Calamus laevigatus, Mart., Magnoliophyta: Arecaceae, climber,critically endangered,,
746,Calamus lobbianus, Becc., Magnoliophyta: Arecaceae, tree,critically endangered,,
747,Calamus oxleyanus, Teijsm & Binnend., Magnoliophyta: Arecaceae, climber,critically endangered,,
748,Calamus ridleyanus, Becc., Magnoliophyta: Arecaceae, climber,critically endangered,,
749,Calanthe pulchra, (Blume) Lindl., Magnoliophyta: Orchidaceae, herb,critically endangered,,
750,Callerya eriantha, (Benth.) Schot, Magnoliophyta: Fabaceae, climber,critically endangered,,
751,Calophyllum dispar, P.F. Stevens, Magnoliophyta: Clusiaceae, tree,critically endangered,,
752,Calophyllum inophyllum, L., Magnoliophyta: Clusiaceae, tree,critically endangered, cultivated,
753,Calophyllum macrocarpum, Hook. f., Magnoliophyta: Clusiaceae, tree,critically endangered,,
754,Calophyllum rigidum, Miq., Magnoliophyta: Clusiaceae, tree,critically endangered,,
755,Calophyllum soulattri, Burm. f., Magnoliophyta: Clusiaceae, tree,critically endangered, cultivated,
756,Calophyllum sundaicum, P. F. Stevens, Magnoliophyta: Clusiaceae, tree,critically endangered,,
757,Calophyllum wallichianum, Planch. & Tr. var. wallichianum, Magnoliophyta: Clusiaceae, tree,critically endangered, cultivated,
758,Canarium grandifolium, (Ridl.) Lam, Magnoliophyta: Burseraceae, tree,critically endangered,,
759,Capparis micracantha, DC., Magnoliophyta: Capparaceae, climber,critically endangered, cultivated,
760,Carex cryptostachys, Brongn., Magnoliophyta: Cyperaceae, herb,critically endangered,,
761,Casearia capitellata, Blume, Magnoliophyta: Salicaceae, shrub,critically endangered, cultivated,
762,Casearia lobbiana, Turcz., Magnoliophyta: Salicaceae, shrub,critically endangered,,
763,Cassine viburnifolia, (Juss.) Ding Hou, Magnoliophyta: Celastraceae, tree,critically endangered,,
764,Castanopsis inermis, (Lindl. ex Wall.) Benth. & Hook. f., Magnoliophyta: Fagaceae, tree,critically endangered, cultivated,
765,Castanopsis lucida, (Nees) Soepadmo, Magnoliophyta: Fagaceae, tree,critically endangered, cultivated,
766,Castanopsis malaccensis, Gamble, Magnoliophyta: Fagaceae, tree,critically endangered,,
767,Castanopsis megacarpa, Gamble, Magnoliophyta: Fagaceae, tree,critically endangered, cultivated,
768,Castanopsis nephelioides, King ex Hook. f., Magnoliophyta: Fagaceae, tree,critically endangered,,
769,Castanopsis schefferiana, Hance, Magnoliophyta: Fagaceae, tree,critically endangered,,
770,Castanopsis wallichii, King ex Hook. f., Magnoliophyta: Fagaceae, tree,critically endangered, cultivated,
771,Cayratia novemfolia, (Wall. ex Laws.) Burk., Magnoliophyta: Vitaceae, climber,critically endangered,,
772,Centotheca lappacea, (L.) Desv., Magnoliophyta: Poaceae, herb,critically endangered, cultivated,
773,Cerbera manghas, L., Magnoliophyta: Apocynaceae, tree,critically endangered, cultivated,
774,Chassalia singapurensis, (Ridl.) A.P. Davis, Magnoliophyta: Rubiaceae, shrub,critically endangered,, =Psychotria singapurensis (Ridl.) I.M.Turner
775,Chionanthus ramiflorus, Roxb., Magnoliophyta: Oleaceae, tree,critically endangered,,
776,Chisocheton erythrocarpus, Hiern, Magnoliophyta: Meliaceae, tree,critically endangered, cultivated,
777,Chisocheton patens, Blume, Magnoliophyta: Meliaceae, tree,critically endangered,,
778,Chisocheton pentandrus, (Blanco) Merr. ssp. paucijugus (Miq.) Mabb., Magnoliophyta: Meliaceae, tree,critically endangered,,
779,Chisocheton sarawakanus, (C. DC.) Harms, Magnoliophyta: Meliaceae, tree,critically endangered,,
780,Chloranthus erectus, (Buch.-Ham.) Verdc., Magnoliophyta: Chloranthaceae, shrub,critically endangered,,
781,Chonemorpha fragrans, (Moon) Alston, Magnoliophyta: Apocynaceae, climber,critically endangered,,
782,Chrysophyllum roxburghii, G. Don, Magnoliophyta: Sapotaceae, tree,critically endangered,,
783,Cinnamomum javanicum, Blume, Magnoliophyta: Lauraceae, tree,critically endangered,,
784,Cinnamomum sintoc, Blume, Magnoliophyta: Lauraceae, tree,critically endangered,,
785,Cissus nodosa, Blume, Magnoliophyta: Vitaceae, climber,critically endangered, cultivated,
786,Cissus repens, Lam., Magnoliophyta: Vitaceae, climber,critically endangered, cultivated,
787,Cissus rostrata, (Miq.) Planch., Magnoliophyta: Vitaceae, climber,critically endangered,,
788,Claderia viridiflora, Hook. f., Magnoliophyta: Orchidaceae, herb,critically endangered,,
789,Cleistanthus macrophyllus, Hook. f., Magnoliophyta: Phyllanthaceae, tree,critically endangered,,
790,Cleistanthus oblongifolius, (Roxb.) Mull. Arg, Magnoliophyta: Phyllanthaceae, tree,critically endangered,, =C.  myrianthus (Hassk.) Kurz
791,Coelostegia griffithii, Benth., Magnoliophyta: Malvaceae, tree,critically endangered,,
792,Combretum tetralophum, C.B. Clarke, Magnoliophyta: Combretaceae, climber,critically endangered,,
793,Connarus ferrugineus, Jack, Magnoliophyta: Connaraceae, climber,critically endangered,,
794,Connarus grandis, Jack, Magnoliophyta: Connaraceae, climber,critically endangered,,
795,Connarus monocarpus, L., Magnoliophyta: Connaraceae, climber,critically endangered,,
796,Connarus semidecandrus, Jack, Magnoliophyta: Connaraceae, climber,critically endangered,,
797,Cordia dichotoma, G. Forst., Magnoliophyta: Boraginaceae, tree,critically endangered, cultivated,
798,Cordia subcordata, Lam., Magnoliophyta: Boraginaceae, tree,critically endangered, cultivated,
799,Cotylelobium lanceolatum, Craib, Magnoliophyta: Dipterocarpaceae, tree,critically endangered,,
800,Cratoxylum maingayi, Dyer, Magnoliophyta: Hypericaceae, tree,critically endangered,,
801,Crinum asiaticum, L., Magnoliophyta: Amaryllidaceae, herb,critically endangered, cultivated,
802,Croton heterocarpus, Müll. Arg., Magnoliophyta: Euphorbiaceae, tree,critically endangered,,
