year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1905,1461,222,481.3925850340136,369.5272789115646,461.0,504.0,271.0,494.0
1906,1465,224,474.3725850340136,370.5472789115646,455.0,497.0,272.0,496.0
1907,1458,233,469.03353741496596,373.8863265306122,450.0,491.0,274.0,499.52499999999964
1908,1455,241,461.073537414966,376.84632653061226,442.0,482.0,277.0,503.0
1909,1452,248,454.4889795918367,379.4308843537415,436.0,475.0,280.0,505.0
1910,1446,259,445.5996598639456,383.32020408163265,428.0,465.0,284.0,509.0
1911,1443,263,443.01367346938775,384.9061904761905,425.0,462.0,285.0,511.0
1913,1438,268,441.0943537414966,386.82551020408164,424.0,460.0,287.0,513.0
1914,1437,269,440.4400680272109,387.47979591836736,423.0,459.0,287.0,514.0
1917,1442,272,431.15537414965985,388.7644897959184,414.0,450.0,288.0,515.0
1918,1444,276,423.58843537414964,390.33142857142855,407.0,442.0,290.0,516.0
1919,1433,288,418.6321088435374,394.2877551020408,403.0,436.0,294.0,520.0
1920,1433,289,417.02469387755104,394.8951700680272,401.0,435.0,295.0,521.0
1921,1436,290,412.41891156462583,395.50095238095236,397.0,430.0,295.0,522.0
1924,1439,291,407.83061224489796,396.0892517006803,392.0,425.0,296.0,522.5249999999996
1925,1432,300,402.8659183673469,399.05394557823126,388.0,420.0,298.475,525.0
1926,1431,301,402.2887074829932,399.631156462585,387.0,419.0,299.0,526.0
1927,1430,303,400.40006802721086,400.5197959183673,386.0,417.0,300.0,527.0
1928,1429,304,399.82197278911565,401.0978911564626,385.0,416.0,301.0,527.0
1929,1428,307,396.6561224489796,402.26374149659864,382.0,413.0,302.0,528.0
1930,1428,310,392.4922448979592,403.42761904761903,378.0,408.0,303.0,530.0
1931,1426,314,389.0565306122449,404.86333333333334,375.0,405.0,304.0,531.0
1932,1437,315,376.47285714285715,405.4470068027211,363.0,392.0,305.0,531.0
1933,1439,323,363.9873469387755,407.9325170068027,351.0,379.0,307.475,534.5249999999996
1935,1437,330,356.87666666666667,410.0431972789116,344.0,371.0,310.0,537.0
1936,1442,331,350.3565306122449,410.56333333333333,338.0,365.0,310.0,537.0
1937,1448,334,340.34068027210884,411.5791836734694,328.0,354.0,311.0,538.0
1938,1458,336,327.5948299319728,412.32503401360543,315.0,342.0,312.0,539.0
1939,1460,340,320.4,413.5198639455782,308.0,334.0,313.0,540.0
1940,1474,342,303.7187074829932,414.20115646258506,292.0,317.0,313.475,541.0
1941,1478,347,293.4030612244898,415.5168027210884,282.0,307.0,315.0,542.0
1942,1474,351,292.33945578231294,416.5804081632653,281.0,305.0,316.0,544.0
1943,1476,352,288.9229931972789,416.99687074829933,278.0,302.0,316.0,544.0
1944,1473,356,286.88843537414965,418.0314285714286,276.0,299.0,317.0,544.5249999999996
1948,1475,358,282.2600680272109,418.65979591836737,272.0,295.0,318.0,546.0
1949,1479,362,273.23578231292515,419.68408163265303,263.0,285.0,319.0,547.0
1950,1482,368,262.84469387755104,421.0751700680272,253.0,275.0,320.0,548.0
1951,1484,372,255.90108843537416,422.0187755102041,246.0,268.0,321.0,549.0
1952,1479,377,254.781768707483,423.1380952380952,245.0,266.0,322.0,550.0
1953,1494,379,237.228231292517,423.6916326530612,228.0,248.0,322.0,550.5249999999996
1954,1487,393,227.6543537414966,426.26551020408164,219.0,238.0,325.0,554.0
1955,1493,399,214.50149659863945,427.4183673469388,206.0,224.0,326.0,555.0
1956,1490,404,211.57557823129252,428.3442857142857,204.0,221.0,327.0,555.5249999999996
1957,1493,407,204.95455782312925,428.96530612244896,197.0,214.0,327.0,556.0
1958,1491,412,201.0656462585034,429.8542176870748,194.0,210.0,328.0,557.0
1959,1492,413,198.7729931972789,430.1468707482993,191.0,208.0,328.475,558.0
1960,1489,417,197.0630612244898,430.85680272108846,190.0,206.0,329.0,559.0
1961,1492,418,192.77775510204083,431.1421088435374,186.0,201.0,329.0,559.0
1962,1489,421,192.20265306122448,431.71721088435373,185.0,201.0,330.0,559.0
1963,1489,422,190.91836734693877,432.00149659863945,184.0,199.0,330.0,559.5249999999996
1964,1487,424,190.50421768707483,432.4156462585034,184.0,199.0,331.0,560.0
1965,1489,425,187.2234693877551,432.6963945578231,181.0,195.0,331.0,560.0
1966,1485,431,184.26068027210886,433.6591836734694,178.0,192.0,332.0,561.0
1967,1484,433,182.85156462585033,434.0682993197279,177.0,190.0,332.0,562.0
1968,1483,434,182.5717006802721,434.34816326530614,177.0,190.0,333.0,562.0
1969,1485,435,179.29965986394558,434.62020408163266,173.0,187.0,333.0,562.0
1970,1484,438,176.7695238095238,435.1503401360544,171.0,184.0,333.0,563.0
1973,1481,444,172.85108843537415,436.0687755102041,168.0,180.0,334.0,564.0
1974,1481,445,171.59061224489795,436.3292517006803,166.0,178.0,334.0,565.0
1975,1479,447,171.2056462585034,436.71421768707484,166.0,178.0,335.0,565.0
1976,1479,449,168.84054421768707,437.0793197278912,164.0,175.0,335.0,565.0
1977,1477,452,167.3321768707483,437.58768707482994,163.0,173.0,335.0,566.0
1978,1476,454,165.94979591836736,437.97006802721086,161.0,172.0,336.0,566.0
1980,1474,456,165.57557823129252,438.3442857142857,161.0,171.0,336.0,567.0
1981,1484,457,154.32353741496598,438.59632653061226,150.0,160.0,336.0,567.0
1982,1485,461,148.7408843537415,439.1789795918367,145.0,154.0,337.0,567.5249999999996
1983,1476,472,145.37795918367348,440.5419047619048,142.0,150.0,338.0,569.0
