standard name,first detection,last detection,no. detns,expert extant?,chong common?
microcos hirsuta,1892,2009,8,yes,
microdesmis caseariifolia,1892,2012,14,yes,yes
microlepia speluncae,1842,2012,10,yes,yes
micropera fuscolutea,1889,1941,2,,
microsaccus griffithii,1894,1894,1,,
microsaccus javensis,1889,1909,4,,
microsorum punctatum,1880,2011,12,yes,yes
miliusa longipes,1890,1909,5,,
millettia xylocarpia,1893,1897,2,,
mischocarpus pentapetalus,1894,1894,1,,
mischocarpus sundaicus,1822,2003,14,,
mitrella kentii,1889,2010,18,yes,yes
mitrephora teysmannii,2010,2010,1,,
mnesithea glandulosa,1887,2003,9,,
molineria capitulata,1896,1995,3,yes,
molineria latifolia,1822,2010,14,yes,
monocarpia marginalis,2009,2015,3,yes,
monogramma dareicarpa,1904,1906,2,,
monoon borneense,1889,2011,12,,
morella esculenta,1822,2010,35,yes,yes
morinda citrifolia,1883,2017,13,,
morinda ridleyi,1894,2010,7,,
morinda rigida,1892,2012,8,,
morinda umbellata,1838,2012,25,yes,yes
mucuna acuminata,1900,1900,1,,
mucuna gigantea,1898,1958,2,,
murdannia vaginata,1898,1898,1,,yes
mussaenda glabra,1830,2013,14,yes,
mussaendopsis beccariana,1992,2010,3,,
mycaranthes obliqua,1889,1911,5,,
mycaranthes pannea,1889,1897,3,,
mycetia malayana,1900,1900,1,,
myrialepis paradoxa,1888,1996,13,yes,
myristica cinnamomea,1891,2010,14,yes,
myristica crassa,1953,2010,4,,
myristica elliptica,1822,2013,21,yes,
myristica iners,1934,1961,5,yes,
myristica lowiana,1894,2012,8,yes,
myristica maingayi,1932,2010,5,yes,
myristica maxima,1892,2010,8,yes,
myrmecodia tuberosa,1892,1900,4,,
nageia wallichiana,2013,2013,1,,
nauclea officinalis,1884,2011,14,yes,
nauclea subdita,1921,1976,5,,
neesia altissima,1941,1941,1,,
neesia malayana,1892,2011,7,yes,
neesia synandra,1890,1992,10,yes,
nenga pumila var. pachystachya,1889,2012,16,yes,
neolitsea cassia,1884,2011,17,yes,
neoscortechinia kingii,2007,2015,3,,
neoscortechinia philippinensis,2008,2008,1,,
neoscortechinia sumatrensis,1981,2010,8,yes,
nepenthes ampullaria,1838,2011,35,yes,
nepenthes gracilis,1884,2017,41,yes,yes
nepenthes rafflesiana,1819,2007,27,yes,
nephelaphyllum pulchrum,1933,1995,4,yes,
nephelium cuspidatum,1881,2010,8,yes,
nephelium lappaceum,1822,2015,25,yes,
nephelium laurinum,1836,2009,9,yes,
nephelium maingayi,1890,2011,10,yes,
nephelium ramboutan-ake,1884,2008,6,,
nephrolepis acutifolia,1822,1955,10,yes,
nephrolepis falcata,1881,1918,2,,yes
nephrolepis radicans,1892,1955,3,,yes
nervilia punctata,1891,1907,3,,
neuropeltis racemosa,1822,1990,2,,
neuwiedia griffithii,1891,1992,5,,
neuwiedia singapureana,1822,1822,1,,
neuwiedia veratrifolia,1894,1993,3,,
neuwiedia zollingeri,1892,1892,1,,
norrisia maior,1884,2010,8,,
nothaphoebe umbelliflora,1884,2010,13,yes,yes
nothocissus spicifera,1884,2011,15,yes,
nothocnide mollissima,1892,1892,1,,
nymphoides indica,1890,1992,7,yes,
nypa fruticans,1892,2017,6,yes,
oberonia ciliolata,1889,1899,6,,
oberonia dissitiflora,1890,1918,4,,
oberonia lunata,1889,1889,1,,
oberonia lycopodioides,1898,1900,2,,
oberonia stenophylla,1890,1930,2,,
ochanostachys amentacea,1891,2008,18,yes,
ochrosia oppositifolia,1822,1986,2,,
ochthocharis javanica,1831,1948,13,,
oldenlandia affinis,1930,2004,12,,
oldenlandia prostrata,1830,2010,11,yes,
olea brachiata,1838,2012,15,yes,
oncosperma horridum,1890,2012,8,yes,
oncosperma tigillarium,1889,2003,10,yes,
ophioglossum nudicaule,1889,1938,3,,yes
ophioglossum pendulum,1903,2011,4,yes,
ophioglossum reticulatum,1892,2014,3,yes,yes
ophiorrhiza singaporensis,1883,2012,15,yes,
orania sylvicola,1891,1933,2,yes,
ormocarpum cochinchinense,1898,2007,4,,
ormosia bancana,1889,2010,15,yes,
ormosia macrodisca,1890,2004,2,,
ormosia sumatrana,1891,1899,3,,
osmelia maingayi,1898,1977,2,,
osmelia philippina,1884,2013,19,yes,
ottochloa nodosa,1889,2004,9,yes,yes
oxyceros drupaceus,1894,2010,2,,
oxyceros fragrantissimus,1893,2012,15,yes,
oxyceros longiflorus,1891,2017,22,yes,
oxyceros penangianus,2008,2008,1,,
oxystophyllum carnosum,1822,1896,8,,
oxystophyllum excavatum,1889,1911,5,,
oxystophyllum sinuatum,1890,1908,2,,
pachycentria constricta,1892,1980,3,,
pachycentria maingayi,1867,2000,7,,
paederia foetida,1966,2017,10,yes,yes
paederia verticillata,1911,1911,1,,
pajanelia longifolia,1882,1882,1,,
palaquium gutta,1846,2012,25,yes,
palaquium hexandrum,1896,2009,7,yes,
palaquium impressionervium,1974,2010,5,,
palaquium microphyllum,1900,2010,14,yes,
palaquium obovatum,1886,2013,38,yes,
palaquium oxleyanum,1867,2007,6,,
palaquium ridleyi,1892,1893,2,,
palaquium rostratum,1884,2010,16,yes,
palaquium xanthochymum,1884,2012,6,yes,
pandanus corneri,1960,1960,1,,
pandanus houlletii,1892,2012,7,,
pandanus militaris,1894,1894,1,,
pandanus odorifer,1890,2003,14,,yes
pandanus polycephalus,1941,1941,1,,
pandanus rostratus,1939,1966,3,,
pandanus singaporensis,1910,2012,4,,
pandanus yvanii,1889,2008,6,yes,
panicum luzonense,1894,1932,3,,yes
panicum repens,1890,2003,5,,yes
panicum sarmentosum,1853,1933,7,,yes
paracroton pendulus,1881,2005,8,,
paraderris elliptica,1894,2010,17,,
paraderris montana,1894,2002,2,,
parameria laevigata,1884,1997,2,yes,
parameria polyneura,1884,2010,8,yes,
paramignya scandens,1904,2009,7,yes,
paranephelium macrophyllum,1884,2010,8,,
parartocarpus bracteatus,1892,2009,6,,
parastemon urophyllus,1836,2010,18,yes,
parinari costata,1892,1954,3,,
parinari oblongifolia,1894,2008,6,yes,
parishia insignis,1893,2005,9,yes,
parishia maingayi,1900,2010,7,yes,
parishia paucijuga,1867,1976,7,,
parkia speciosa,1889,2013,14,yes,
parsonsia alboflavescens,1822,2007,10,,
paspalum longifolium,1900,2003,7,,yes
paspalum vaginatum,1890,2011,13,yes,yes
pavetta wallichiana,1884,2012,15,yes,
payena lucida,1884,2010,27,,
payena maingayi,1894,1940,3,,
payena obscura,1892,2007,5,,
peliosanthes teta,1996,2012,5,yes,
pellacalyx axillaris,1881,2015,24,yes,
pellacalyx saccardianus,1889,2010,24,yes,
peltophorum pterocarpum,1890,2004,18,,
pemphis acidula,1822,2012,27,,
pentace triptera,1894,2010,9,yes,
pentaphragma ellipticum var. ellipticum,1889,1995,23,yes,
peristylus lacertifer,1889,1918,8,yes,
peristylus maingayi,1886,1953,2,,
peronema canescens,1892,1892,1,,
perotis indica,1884,2001,6,,yes
persea declinata,1884,1892,4,,
pertusadina eurhyncha,1900,2010,7,yes,
phaeanthus ophthalmicus,1890,2012,29,yes,
phaeanthus splendens,2007,2008,2,,
phaius tankervilleae,1996,1996,1,,
phalaenopsis cornu-cervi,1898,1898,1,,
phoebe elliptica,2004,2004,1,,
phoebe grandis,1893,2005,3,,
pholidocarpus kingianus,1890,2011,5,yes,
phreatia plantaginifolia,1890,1894,4,,
phrynium hirtum,2012,2012,1,yes,
phrynium parvum,1901,2009,7,yes,
phyllanthus emblica,1955,2008,4,,
phymatosorus nigrescens,1876,1922,10,,yes
phymatosorus scolopendria,1842,2012,25,yes,yes
phytocrene bracteata,1889,2013,18,yes,
phytocrene oblonga,2011,2011,1,,
pimelodendron griffithianum,1884,2010,13,yes,
pinalia bractescens,1890,1959,4,,
pinalia floribunda,1889,2016,5,,
pinalia tenuiflora,1889,1898,4,,
pinanga disticha,1932,1995,2,,
pinanga limosa,1890,1908,5,,
pinanga malaiana,1889,1971,6,yes,
pinanga pectinata,1900,1901,2,,
pinanga simplicifrons,1932,2012,2,yes,
piper caninum,1822,2012,19,yes,yes
piper curtisii,2012,2012,1,,
piper flavimarginatum,1822,2012,7,yes,
piper macropiper,1887,2012,11,yes,
piper maingayi,1867,1867,1,,
piper malaccense,1982,1982,1,,
piper malamiri,2012,2012,1,,
piper muricatum,1955,2012,3,,
piper pedicellosum,1822,2012,7,,
piper porphyrophyllum,1904,2012,5,yes,
piper ramipilum,1905,2012,3,,
piper ribesioides,1954,2012,2,yes,
piper ridleyi,1898,1900,2,yes,
piper sarmentosum,1884,2016,16,yes,yes
piper schizonephos,2012,2012,1,,
pittosporum ferrugineum,1836,2007,19,yes,
plagiostachys lateralis,1890,1909,4,yes,
plagiostachys mucida,1892,1892,1,,
planchonella linggensis,1996,2007,6,,
planchonia grandis,1894,1935,3,yes,
platea latifolia,1940,2009,2,,
platycerium coronarium,1822,2010,15,yes,yes
platycerium ridleyi,1898,1907,3,,
plectocomia elongata,1889,2015,12,yes,
pleocnemia conjugata,1921,2002,3,yes,
pleocnemia irregularis,1842,2012,13,yes,yes
pleocnemia olivacea,1904,1907,4,,
plethiandra sessiliflora,1890,1900,5,,
plocoglottis gigantea,1892,2009,6,yes,
plocoglottis javanica,1889,2010,10,yes,
plocoglottis lowii,1889,2015,6,yes,
ploiarium alternifolium,1822,2010,21,yes,yes
pluchea indica,1853,2007,22,,yes
podocarpus polystachyus,1796,2013,27,yes,
podochilus microphyllus,1836,1948,5,,
pogonanthera pulverulenta,1884,1997,13,,
pogonatherum crinitum,2002,2003,2,,yes
poikilospermum cordifolium,1973,2008,2,,
poikilospermum suaveolens,1890,2009,14,yes,
pollia secundiflora,1893,1893,1,,
polyalthia angustissima,1891,2012,15,yes,
polyalthia cauliflora,1889,2012,22,yes,
polyalthia clavigera,1894,1907,2,,
polyalthia glauca,1932,2010,8,,
polyalthia hookeriana,1951,1951,1,,
polyalthia hypoleuca,1994,1994,1,,
polyalthia jenkinsii,1938,1989,4,,
polyalthia lateriflora,1937,2013,9,,
polyalthia rumphii,1888,2010,12,,
polyalthia sclerophylla,1900,1996,4,,
polyalthia sumatrana,1893,2010,10,,
polyosma conocarpa,1918,1918,1,yes,
polyosma kingiana,1938,1938,1,,
polyosma ridleyi,1884,1900,4,,
polystachya concreta,1884,2007,4,yes,
polystichum triangulum,1887,1887,1,,
pomatocalpa diffusum,1889,2007,2,yes,
pometia pinnata,1890,2016,19,yes,
pongamia pinnata,1890,2012,20,yes,
popowia fusca,1894,2012,25,,
popowia pisocarpa,1892,2009,9,,
popowia tomentosa,1953,2003,5,yes,
porterandia anisophylla,1822,2013,22,,
portulaca pilosa,1931,2007,8,,
pothos curtisii,1891,2015,5,,
pouteria maingayi,1969,2012,8,,
pouteria malaccensis,1881,2010,12,yes,
pouteria obovata,1881,2012,32,yes,
premna divaricata,1886,1900,5,,
premna serratifolia,1846,2017,36,,yes
premna trichostoma,1894,1898,4,,
prismatomeris glabra,1981,2012,3,,
prismatomeris tetrandra subsp. malayana,1981,2005,3,,
pronephrium menisciicarpon,1900,1926,4,,
pronephrium repandum,1881,1982,8,yes,yes
pronephrium triphyllum,1898,2010,15,yes,yes
prunus arborea,1892,2011,12,yes,
prunus grisea,1847,2007,11,yes,
prunus polystachya,1884,2010,39,yes,yes
pseuderanthemum kingii,1885,1894,4,,
pseudoclausena chrysogyne,1981,2010,2,yes,
psilotum complanatum,1822,1900,5,yes,
psilotum nudum,1896,2013,5,yes,yes
psychotria angulata,1884,2001,3,,
psychotria cantleyi,2000,2000,1,,
psychotria griffithii,1981,1998,3,,
psychotria helferiana,1822,2012,28,yes,
psychotria maingayi,1867,2012,3,yes,
psychotria malayana,1958,2013,4,,
psychotria ovoidea,1822,2011,18,yes,
psychotria penangensis,1884,2012,10,yes,
psychotria ridleyi,1884,1982,3,,
psychotria rostrata,1900,2012,4,yes,
psychotria sarmentosa,1822,2010,14,,
pteleocarpa lamponga,1891,1998,2,,
pteridium aquilinum,1822,2003,10,,yes
pteris mertensioides,1924,1924,1,,
pteris multifida,1910,2012,3,yes,yes
pteris semipinnata,1881,2005,6,yes,
pteris tripartita,1900,2003,2,yes,
pterisanthes eriopoda,1889,2002,2,yes,
pterisanthes polita,1889,2005,10,yes,
pternandra caerulescens,1884,2011,25,yes,
pternandra echinata,1879,2017,30,yes,
pternandra tuberculata,1893,1993,5,,
pteroceras pallidum,1890,1901,4,,
pterococcus corniculatus,1899,1899,1,,
pterocymbium tubulatum,1894,1996,3,yes,
pterospermum diversifolium,2006,2012,3,,
pterospermum javanicum,1894,2012,9,yes,
pterospermum lanceifolium,1997,2011,2,,
pterospermum sumatranum,1951,1955,3,,
ptychopyxis caput-medusae,1938,2003,5,,
ptychopyxis costata var. oblanceolata,1894,1997,3,,
pycreus polystachyos,1930,2013,5,,yes
pycreus pumilus,1889,1950,5,,yes
pyramidanthe prismatica,1890,2010,15,,
pyrenaria acuminata,1889,2011,16,yes,
pyrrosia angustata,1881,2007,9,,
pyrrosia lanceolata,1822,2007,16,yes,yes
pyrrosia longifolia,1880,2014,16,yes,yes
pyrrosia nummulariifolia,2003,2003,1,,
pyrrosia piloselloides,1899,2016,12,yes,yes
quassia indica,1918,1918,1,,
quercus argentata,1890,2008,4,,
radermachera pinnata ssp. acuminata,1890,2012,10,,
rapanea avenis,2008,2008,1,,
rapanea porteriana,1884,2012,16,,
reissantia indica,1884,1917,6,,
remirea maritima,1899,2012,12,,yes
renanthera elongata,1822,2012,3,,
renanthera histrionica,1891,1891,1,,
rhaphidophora korthalsii,1822,2010,8,,
rhaphidophora lobbii,2008,2009,2,,
rhaphidophora minor,1890,2008,5,,
rhaphidophora montana,1961,2005,5,,
rhizophora apiculata,1884,2012,28,yes,yes
rhizophora lamarckii,2011,2012,2,,
rhizophora mucronata,1822,2005,22,,yes
rhizophora parviflora,1998,1998,1,,
rhizophora stylosa,1918,2016,19,,
rhodamnia cinerea,1822,2011,18,yes,yes
rhododendron longiflorum,1891,1953,3,,
rhodomyrtus tomentosa,1838,2017,21,,yes
rhopaloblaste singaporensis,1889,2007,12,yes,
rhynchospora malasica,1889,1892,2,,
rhynchospora rugosa,1890,1955,4,,yes
rhynchostylis gigantea,1890,1893,2,,
rinorea anguifera,1892,2012,8,yes,
rinorea lanceolata,1890,2009,5,yes,
robiquetia spathulata,1893,2008,2,,
rothmannia macrophylla,1837,2013,22,yes,
rourea acutipetala,1899,2010,4,yes,
rourea asplenifolia,1885,2013,14,yes,
rourea fulgens,1822,2009,16,yes,
rourea mimosoides,1822,2011,19,yes,
rourea minor,1822,2010,13,yes,
rourea rugosa,1884,1893,3,,
rubus moluccanus,1884,2010,17,yes,
ryparosa hullettii,1885,1938,6,yes,
ryparosa scortechinii,1996,2009,3,,
sabia erratica,1940,1940,1,,
salacca affinis,1898,1972,7,yes,
salacia chinensis,1890,2009,11,yes,
salacia exsculpta,1884,1983,4,,
salacia grandiflora,1884,2012,13,,
salacia korthalsiana,1885,2007,6,yes,
salacia macrophylla,1881,2013,18,,
salacia maingayi,1850,2010,3,yes,
salacia viminea,1884,1887,4,yes,
sandoricum beccarianum,1901,2007,6,yes,
sandoricum koetjape,1884,2009,24,yes,
santiria apiculata,1894,2009,20,yes,yes
santiria conferta,1936,2010,6,,
santiria griffithii,1884,2003,8,yes,yes
santiria laevigata,1894,2010,14,yes,
santiria rubiginosa,1892,2010,11,yes,
santiria tomentosa,1884,1958,8,yes,
saprosma glomerulatum,1981,1998,5,,
sarcolobus globosus,1885,1903,6,,
sarcosperma paniculatum,1873,2013,2,yes,
sarcostoma javanica,1910,1914,2,,
sarcotheca griffithii,2008,2008,1,,
sarcotheca laxa var. sericea,1892,2009,4,,
saurauia pentapetala,1899,1951,2,yes,
sauropus androgynus,1841,2001,9,,yes
sauropus bacciformis,1967,2007,4,,
scaevola taccada,1885,2016,25,yes,yes
scaphium affine,1955,2005,2,yes,
scaphium linearicarpum,1894,1996,7,yes,
scaphium macropodum,1894,2009,14,yes,
schefflera cephalotes,1892,1933,3,,
schefflera elliptica,1822,2012,8,,
schefflera hullettii,1887,2010,9,,
schefflera lanceolata,1889,1949,7,,
schefflera ridleyi,1889,1924,8,,
schismatoglottis calyptrata,1889,1981,5,yes,
schismatoglottis wallichii,1889,2012,10,yes,
schizachyrium sanguineum,1890,1937,7,,
schizaea dichotoma,1822,2008,19,yes,
schizaea digitata,1822,2003,14,yes,
schizaea wagneri,1909,1909,1,,
schizostachyum gracile,1822,2007,3,,
schizostachyum latifolium,1892,2003,4,,
schoenorchis micrantha,1889,1928,4,,
schoenorchis secundiflora,1895,1933,3,,
schradera membranacea,1890,2012,9,,
schradera polysperma,1969,1969,1,,
sciaphila maculata,1891,1900,2,,
sciaphila tenella,1889,1894,2,,
scindapsus hederaceus,1892,2010,7,yes,yes
scindapsus pictus,1891,2010,6,yes,yes
scirpodendron ghaeri,1889,1951,4,,
scleria ciliaris,1883,2012,10,yes,yes
scleria corymbosa,1890,1932,4,,
scleria poiformis,1892,1892,1,,yes
scleria purpurascens,1837,1921,7,,yes
scleria sumatrensis,1841,2007,12,,
scleria terrestris,1889,2003,6,,
scleropyrum pentandrum,1885,2013,15,yes,
scolopia macrophylla,1890,1953,6,yes,
scorodocarpus borneensis,1884,2009,17,yes,
scrotochloa urceolata,1908,2012,5,yes,
scurrula ferruginea,1881,2011,22,yes,yes
scurrula parasitica,1991,2001,2,yes,
scyphiphora hydrophylacea,1822,2012,27,yes,yes
secamone elliptica,1992,1992,1,,
securidaca philippinensis,2010,2013,3,yes,
selaginella argentea,1842,1881,2,yes,
selaginella ciliaris,1899,2010,5,,yes
selaginella intermedia,1842,2010,19,yes,
selaginella mayeri,1893,2002,4,yes,
selaginella roxburghii,1830,2002,14,,
selaginella willdenowii,1841,2002,13,,
selliguea lateritia,1893,1924,6,,
serianthes grandiflora,1949,2012,8,,
sesuvium portulacastrum,1885,2013,16,yes,yes
setaria parviflora,1884,2003,9,,yes
shirakiopsis indica,1896,1949,3,,
shorea bracteolata,2002,2013,3,,
shorea curtisii,1900,2009,20,yes,
shorea gibbosa,1894,2005,9,,
shorea gratissima,1822,2009,10,,
shorea johorensis,2009,2009,1,,
shorea leprosula,1905,2010,10,yes,
shorea macroptera,1893,2012,24,yes,
shorea ochrophloia,1994,1994,1,,
shorea ovalis,1894,2009,7,yes,
shorea parvifolia,1894,2008,11,,
shorea pauciflora,1881,2010,12,yes,
shorea platycarpa,1940,2010,5,,
sida cordifolia,1890,2010,12,,yes
sindora coriacea,1992,2010,4,yes,
sindora velutina,1954,1954,1,,
sindora wallichii,1822,2009,10,,
sloanea javanica,1894,1955,2,,
smilax calophylla,1836,2012,20,yes,
smilax leucophylla,1893,2012,8,yes,
smilax megacarpa,1892,2011,13,,
smilax myosotiflora,1889,2012,12,,
smilax setosa,1822,2013,27,yes,yes
smythea lanceata,1892,2012,13,,
soejatmia ridleyi,1889,1955,7,yes,
sonerila heterostemon,1885,2012,11,yes,
sonerila moluccana,1890,2013,7,,
sonneratia alba,1949,2007,18,yes,yes
sonneratia caseolaris,1898,2011,7,yes,
sonneratia ovata,1889,2012,27,yes,
sophora tomentosa,1993,2017,6,,
spathoglottis plicata,1884,2011,13,yes,yes
spatholobus ferrugineus,1884,2011,17,yes,yes
spatholobus maingayi,1900,2010,3,,
spatholobus ridleyi,1892,2010,8,,
sphaerocaryum malaccense,1889,1892,2,,
sphaerocoryne affinis,1900,2010,3,,
sphaerostephanos heterocarpus,1858,2010,20,yes,yes
sphaerostephanos polycarpa,1879,2012,12,yes,
sphenodesme pentandra,1891,1965,4,,
sporobolus indicus,1892,2004,10,,yes
sporobolus virginicus,1941,1941,1,,yes
stachyphrynium latifolium,1822,2005,13,yes,
staurogyne griffithiana,1887,1950,9,,
staurogyne kingiana,1949,1981,3,yes,
staurogyne setigera,1889,2013,11,,
stemonurus scorpioides,1890,2010,9,,
stenochlaena palustris,1822,2010,24,yes,yes
stephania capitata,1889,2012,14,yes,
sterculia coccinea,1884,2012,27,yes,
sterculia cordata,2000,2014,6,yes,
sterculia gilva,2009,2009,1,yes,
sterculia macrophylla,1890,2013,8,yes,
sterculia parviflora,1884,2014,6,yes,
sterculia rubiginosa,1884,2014,21,yes,
stereosandra javanica,1903,1908,2,,
stereospermum tetragonum,1891,1909,4,,
stichorkis gibbosa,1889,1891,3,,
stictocardia tiliifolia,1953,1953,1,,
streblus elongatus,1854,2010,37,yes,
strobilanthes maingayi,1948,1948,1,,
strobilanthes palawanensis,1894,2003,4,,
strombosia ceylanica,1867,2011,26,yes,
strombosia javanica,1904,2001,8,yes,
strophanthus caudatus,1884,2012,10,yes,
strophanthus singaporianus,1822,1898,4,,
strychnos axillaris,1881,2010,9,yes,
strychnos ignatii,1884,2010,20,yes,
strychnos maingayi,1884,2010,4,yes,
strychnos ridleyi,1891,1895,3,,
styphelia malayana,1822,2004,3,,
styrax benzoin,1884,2010,13,yes,
styrax crotonoides,1822,1836,2,,
suregada multiflora,1890,2011,10,yes,
swintonia schwenckii,1938,2007,5,yes,
symplocos adenophylla,1822,2009,28,yes,
symplocos barringtoniifolia,1890,1982,5,yes,
symplocos celastrifolia,1894,1900,2,,
symplocos fasciculata,1884,2011,23,yes,
symplocos henschelii,1900,1900,1,,
symplocos lucida,1892,1900,3,yes,
symplocos odoratissima,1892,2003,3,yes,
symplocos rubiginosa,1884,2010,15,,
syngramma alismifolia,1850,2009,5,yes,
syngramma wallichii,1836,2009,4,,
syzygium acuminatissimum,1884,2011,22,,
syzygium attenuatum,1935,2010,6,,
syzygium avene,1822,1836,2,,
syzygium borneense,1889,2013,26,yes,yes
syzygium chloranthum,1881,2010,18,yes,
syzygium cinereum,1881,1970,10,,
syzygium claviflorum,1994,2009,6,,
syzygium conglomeratum,2006,2006,1,,
syzygium duthieanum,1884,2010,16,,
syzygium fastigiatum,2010,2010,1,,
syzygium filiforme,1822,2012,27,yes,
syzygium flosculiferum,1940,1940,1,,
syzygium glabratum,1933,1939,5,,
syzygium glaucum,1918,2010,11,yes,
syzygium grande,1881,2016,40,yes,yes
syzygium griffithii,1891,2009,4,,
syzygium incarnatum,1822,2010,20,yes,
syzygium kunstleri,2009,2009,1,,
syzygium lineatum,1822,2012,42,yes,yes
syzygium linocieroideum,1938,1940,3,,
syzygium maingayi,1889,2010,6,,
syzygium muelleri,1822,2013,10,,
syzygium myrtifolium,1822,2016,12,yes,
syzygium nemestrinum,1934,2010,6,,
syzygium ngadimanianum,1938,2010,4,,
syzygium nigricans,1938,1970,5,yes,
syzygium oblatum,1992,2010,2,,
syzygium pachyphyllum,1893,2012,10,,
syzygium palembanicum,1822,2012,36,,
syzygium papillosum,1884,2011,6,,
syzygium pauper,1895,1985,5,,
syzygium pendens,1892,2009,9,,
syzygium polyanthum,1884,2012,42,yes,
syzygium pseudocrenulatum,1894,1941,3,yes,
syzygium pseudoformosum,1884,2010,11,,
syzygium pustulatum,1881,2009,19,,
syzygium pycnanthum,1885,2010,26,,
syzygium pyrifolium,1822,2013,28,,
syzygium ridleyi,1884,2010,18,yes,
syzygium rugosum,1881,2009,12,,
syzygium scortechinii,1921,2010,5,,
syzygium singaporense,1822,2010,19,,
syzygium subdecussatum,1822,2011,16,,
syzygium syzygioides,1884,2012,15,,
syzygium zeylanicum,1838,2010,39,yes,yes
tabernaemontana corymbosa,1884,2012,14,yes,
tabernaemontana pauciflora,1884,2012,19,yes,
tacca integrifolia,1822,2017,10,yes,
tacca leontopetaloides,1940,2017,5,,
taeniophyllum filiforme,1932,1932,1,,
taeniophyllum pusillum,1889,1910,7,yes,
taenitis blechnoides,1838,2009,15,yes,yes
taenitis interrupta,1822,2010,6,yes,
talipariti tiliaceum,1819,2016,26,yes,yes
tapeinidium pinnatum,1842,1879,2,,
tarenna adpressa,2002,2002,1,,
tarenna costata,1937,2015,5,,
tarenna fragrans,1884,2010,25,,
tarenna mollis,1900,2003,5,yes,
tarenna odorata,1853,2012,8,,
tarenna ridleyi,1894,1894,1,,
tarenna stellulata,1899,1903,2,,
taxillus chinensis,2011,2012,2,yes,
tectaria angulata,1900,1928,5,,
tectaria barberi,1848,2010,23,yes,yes
tectaria grandidentata,1907,2002,2,,
tectaria griffithii var. singaporeana,1880,1924,7,,
tectaria semipinnata,1842,2007,9,yes,
tectaria singaporiana,1822,2012,24,yes,yes
tectaria vasta,1908,2012,3,yes,
teijsmanniodendron coriaceum,1915,2010,7,,
teijsmanniodendron pteropodum,1894,2004,2,,
teratophyllum aculeatum,1882,1931,4,,
teratophyllum ludens,1837,2009,7,,
teratophyllum rotundifoliatum,1907,1975,3,,
terminalia catappa,1885,2016,19,yes,yes
terminalia citrina,1919,2009,2,,
terminalia phellocarpa,1884,2007,11,,
terminalia subspathulata,1910,2011,5,yes,
ternstroemia coriacea,1822,2014,4,,
ternstroemia palembangensis,2005,2011,3,,
ternstroemia penangiana,1884,1951,8,yes,
ternstroemia wallichiana,1890,1899,3,,
tetracera akara,1881,2010,7,yes,
tetracera arborescens,1884,2012,7,,
tetracera fagifolia,1894,2010,10,yes,
tetracera indica,1884,2017,32,yes,yes
tetracera macrophylla,1893,2010,5,yes,
tetracera maingayi,1951,2012,4,,
tetracera scandens,1884,2012,7,,
tetrastigma curtisii,1894,2012,3,yes,
tetrastigma dichotomum,1920,2012,2,yes,
tetrastigma lawsoni,1891,2010,5,yes,
tetrastigma rafflesiae,1893,2012,7,,
thelasis carinata,1889,1890,2,,
thelasis micrantha,1889,1891,3,,
thelasis pygmaea,1889,1900,2,,
thelypteris truncata,1881,1906,3,,
themeda villosa,1884,2011,13,,yes
thespesia populnea,1822,2016,27,yes,yes
thismia aseroe,1932,1932,1,,
thottea grandiflora,1889,2013,22,,
thottea praetermissa,1846,2009,5,,
thrixspermum acuminatissimum,1889,1909,3,,
thrixspermum amplexicaule,1889,2009,10,,
thrixspermum calceolus,1890,1953,8,,
thrixspermum centipeda,1889,1889,1,,
thrixspermum ridleyanum,1890,1895,2,,
thrixspermum scopa,1887,1887,1,,
thrixspermum trichoglottis,1889,1948,7,yes,
thuarea involuta,1890,2003,6,,yes
thunbergia dasychlamys,1896,1906,2,,
thunbergia laurifolia,1933,2012,4,,
timonius finlaysonianus,1822,2013,8,,
timonius flavescens,1822,2012,16,yes,
timonius wallichianus,1884,2013,33,yes,yes
tinomiscium petiolare,1890,2012,14,yes,
tinospora macrocarpa,1992,2012,3,yes,
tournefortia tetrandra,1884,1943,6,,
toxocarpus griffithii,1893,2010,4,,
trema angustifolia,1884,1884,1,,
trema cannabina,1880,2012,19,yes,yes
trema tomentosa,1881,2007,19,yes,yes
trevesia burckii,1899,2008,6,,
triadica cochinchinensis,1884,2010,17,yes,yes
trichomanes bimarginatum,1894,1909,4,,
trichomanes mindorense,1894,1906,4,yes,
trichomanes motleyi,1891,2009,9,yes,
trichomanes sublimbatum,1888,1982,13,yes,
trichosanthes celebica,1892,2011,9,yes,
trichosanthes wallichiana,1890,2008,5,,
trichosanthes wawraei,1868,2010,10,yes,
trichotosia gracilis,1890,1891,2,,
trichotosia velutina,1889,1892,3,yes,
trichotosia vestita,1822,1890,2,,
trigonachras acuta,1822,2012,11,yes,
trigonachras cultrata,2008,2011,2,,
trigoniastrum hypoleucum,1899,2009,4,yes,
trigonostemon heteranthus,1893,2013,10,yes,
trigonostemon villosus,1996,2013,3,,
triomma malaccensis,1938,1958,2,yes,
tristaniopsis merguensis,1822,2010,10,,
tristaniopsis obovata,1894,2003,3,,
tristaniopsis whiteana,1853,2012,20,,
tristellateia australasiae,1886,2016,23,yes,
trivalvaria macrophylla,1900,1900,1,,
tropidia curculigoides,1884,1900,6,,
turpinia sphaerocarpa,1884,2010,15,yes,
tylophora flexuosa,1891,2007,16,,yes
tylophora indica,2004,2012,2,,
