standard name,first detection,last detection,no. detns,expert extant?,chong common?
casearia clarkei,1894,2010,7,yes,
casearia lobbiana,1884,2013,25,yes,
cassine viburnifolia,1881,2011,18,,
cassytha filiformis,1889,2011,22,yes,yes
castanopsis inermis,1822,1884,2,yes,
castanopsis lucida,1884,2008,23,,
castanopsis malaccensis,1893,2003,4,,
castanopsis megacarpa,1884,2005,11,yes,
castanopsis nephelioides,1884,2010,4,yes,
castanopsis schefferiana,1861,2009,11,yes,
castanopsis wallichii,1884,2003,17,,
casuarina equisetifolia,1904,2016,23,yes,yes
cayratia japonica,1893,2012,4,yes,
cayratia mollissima,1884,2013,30,yes,
cayratia novemfolia,1889,2003,8,yes,
cayratia trifolia,1885,2013,23,yes,
celastrus monospermoides,1894,2010,3,,
centella asiatica,2005,2005,1,yes,yes
centotheca lappacea,1838,2011,13,yes,
cephalomanes javanicum,1884,2002,5,yes,
cephalomanes obscurum,1822,2010,18,yes,
cephalomanes singaporeanum,1881,2002,8,yes,
cephalomanes superbum,1904,1907,2,,
cerbera manghas,1885,2008,14,,
cerbera odollam,1884,2016,14,yes,
ceriops tagal,1889,2006,23,yes,
ceriops zippeliana,1965,2010,5,,
champereia manillana,1884,2011,35,yes,yes
chassalia angustifolia,1884,1884,1,,
chassalia chartacea,1822,2011,12,,
chassalia curviflora,1884,2013,13,yes,
chassalia griffithii,1891,1891,1,,
chassalia singapurensis,1889,1892,2,,
cheilanthes tenuifolia,1850,2007,5,yes,
cheilocostus speciosus,1994,2017,4,yes,yes
cheilosa montana,2009,2009,1,,
chionanthus macrocarpus,1890,1890,1,,
chionanthus ramiflorus,1884,1993,6,,
chisocheton erythrocarpus,2003,2003,1,,
chisocheton macrophyllus,1893,1893,1,,
chisocheton patens,1861,1970,18,yes,
chisocheton pentandrus subsp. paucijugus,1892,1944,4,,
chisocheton sarawakanus,1992,2008,2,yes,
chloranthus erectus,1885,2004,10,yes,
chonemorpha fragrans,1957,2005,4,yes,
christella arida,1889,2010,7,yes,yes
christella subpubescens,1877,2014,14,yes,yes
chrysophyllum roxburghii,1891,2002,6,,
chrysopogon aciculatus,2001,2011,4,yes,yes
cinnamomum iners,1883,2017,23,yes,yes
cinnamomum javanicum,1881,2009,7,yes,
cinnamomum subavenium,1884,1900,3,,
cissus hastata,1822,2011,30,yes,
cissus nodosa,1889,2013,16,yes,
cissus repens,1886,2012,12,yes,
cissus rostrata,1884,2003,7,yes,
claderia viridiflora,1889,2007,9,,
